description,y_pred,y_conf,y_true
Screening test for antibody to noninfectious agent,Very-Low,0.9923131,0
Quantitation of therapeutic drug,Very-Low,0.67862874,0
Measurement of eye muscles to detect deviation of eyeball,Very-Low,0.99735403,0
Measurement of heart blood flow and respiration,Very-Low,0.91802895,0
Urea nitrogen level to assess kidney function,Very-Low,0.99086624,0
Collection and analysis of exhaled air and carbon dioxide for evaluation of lung function,Very-Low,0.9990362,0
Phenytoin level,Very-Low,0.9491988,0
X-ray of esophagus,Very-Low,0.7143972,0
"Annual depression screening, 15 minutes",Very-Low,0.99221003,0
"X-ray of chest, 2 views, front and side",Very-Low,0.9993868,0
Cardiac output measurements,Low,0.73918605,0
Therapeutic procedures in a group setting,Very-Low,0.9885761,0
3D radiographic procedure,Very-Low,0.5261752,0
Timed assessment of bladder emptying,Very-Low,0.7067691,0
"Inpatient telehealth pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy",Low,0.99945515,0
"X-ray of upper spine, 4 or 5 views",Very-Low,0.9994344,0
"X-ray of wrist, minimum of 3 views",Very-Low,0.9982949,0
Imaging for evaluation of swallowing function,Low,0.66484445,0
Telehealth originating site facility fee,Very-Low,0.9465094,0
Ambulatory blood pressure monitoring 24 hours or longer with interpretation and report,Very-Low,0.9980835,0
Screening test for antibody to noninfectious agent,Very-Low,0.9923131,0
Ultrasound scanning of blood flow (outside of brain) on one side of head and neck or limited,Very-Low,0.6676927,0
Levetiracetam level,Very-Low,0.9491988,0
"Ultrasound scan of blood flow of aorta, vena cava, bypass graphs, or one side of the groin or limited scan",Low,0.9967438,0
"X-ray of fingers, minimum of 2 views",Very-Low,0.9959617,0
"Screening cytopathology smears, cervical or vaginal, performed by automated system with manual rescreening",Very-Low,0.9926726,0
Evaluation of specimen enzymes,Low,0.76555824,0
Immunologic analysis technique on body fluid,Very-Low,0.99620736,0
"Diabetes outpatient self-management training services, individual, per 30 minutes",Very-Low,0.9976388,0
Immunologic analysis technique on body fluid,Very-Low,0.99620736,0
Hepatitis B surface antibody measurement,Very-Low,0.99677795,0
X-ray lower and sacral spine including bending views minimum 6 views,Very-Low,0.99988735,0
Measurement C-reactive protein for detection of infection or inflammation,Very-Low,0.9922172,0
Quantitation of therapeutic drug,Very-Low,0.67862874,0
Trimming of fingernails or toenails,Moderate-High,0.3235409,0
Bone marrow aspiration performed with bone marrow biopsy through the same incision on the same date of service,Very-Low,0.92336076,0
Radiological supervision and interpretation of imaging of artery,Low,0.89036185,0
Examination of eye by ophthalmoscope with retinal drawing,Very-Low,0.88438904,0
Collection and analysis of exhaled air for evaluation of lung function during rest and exercise,Very-Low,0.86690557,0
X-ray of soft tissue of neck,Very-Low,0.92009944,0
"Smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",Very-Low,0.99224794,0
"X-ray of spine, 1 view",Very-Low,0.99951386,0
X-ray of shoulder blade,Very-Low,0.92921567,0
Removal of inflamed or infected skin,Moderate-High,0.3397993,0
Mammography of one breast,Low,0.92272335,0
"Smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",Very-Low,0.99224794,0
"X-ray of skull, complete, minimum of 4 views",Very-Low,0.9990451,0
"X-ray of both sides of the ribs including the chest, minimum of 4 views",Very-Low,0.5611403,0
"Remote evaluations of defibrillator transmissions, technician review, support and distribution of results up to 90 days",Very-Low,0.9747347,0
Red blood cell antibody detection test,Very-Low,0.543456,0
X-ray of collar bone,Very-Low,0.93282396,0
"X-ray of bones of nose, minimum of 3 views",Very-Low,0.9852304,0
X-ray of salivary gland,Very-Low,0.95846385,0
Calcium level,Very-Low,0.9989135,0
"X-ray of chest, special views",Very-Low,0.99721503,0
Stool analysis for blood,Very-Low,0.9901023,0
Cardiac output measurements,Low,0.73918605,0
"New patient office or other outpatient visit, typically 10 minutes",Very-Low,0.7200717,0
"Self-care or home management training, each 15 minutes",Very-Low,0.9805422,0
"X-ray of elbow, minimum of 3 views",Very-Low,0.98269665,0
"X-ray of both hips with pelvis, 2 views",Very-Low,0.99935216,0
X-ray of bones,Very-Low,0.899988,0
Ultrasound study of arteries and arterial grafts of one arm or limited,Low,0.51402956,0
Health and behavior re-assessment each 15 minutes,Very-Low,0.9992818,0
"High osmolar contrast material, 300-349 mg/ml iodine concentration, per ml",Moderate-Low,0.9419001,0
CT scan bone mineral density study 1 or more sites,Low,0.9946241,0
Platelet function test,Low,0.9705676,0
"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth",Low,0.6993007,0
Complex chronic care management services each additional 30 minutes clinical staff time,Low,0.5429233,0
Ultrasound study of arteries and arterial grafts of one arm or limited,Low,0.51402956,0
"X-ray of teeth, single view",Very-Low,0.9996803,0
Observation and recording from multiple positions of abnormal eye movements,Very-Low,0.86120963,0
Removal of inflamed or infected skin,Moderate-High,0.3397993,0
X-ray of both collar bones,Very-Low,0.9273978,0
"Radiological supervision and interpretation X-ray of urinary bladder, minimum of 3 views",Very-Low,0.98326415,0
Phenytoin level,Very-Low,0.9491988,0
Interrogation device evaluation (in person) of leadless heart pacemaker system,Low,0.6241628,0
"Training in use of orthotics (supports, braces, or splints) for arms, legs and/or trunk each 15 minutes",Low,0.7761784,0
"Allergy testing with venoms into or within skin, immediate type reaction, including test interpretation and report",Very-Low,0.9997402,0
"Subsequent nursing facility visit, typically 10 minutes per day",Very-Low,0.72397494,0
Removal of impacted cerumen (one or both ears) by physician on same date of service as audiologic function testing,Very-Low,0.88665324,0
Thyroglobulin (thyroid protein) antibody measurement,Very-Low,0.9998349,0
Hearing test using earphones,Very-Low,0.681466,0
Cell examination of body fluid,Very-Low,0.7621698,0
Chronic care management services at least 20 minutes per calendar month,Low,0.8773357,0
Imaging of abdomen,Very-Low,0.87114716,0
X-ray of voice box or throat,Low,0.49571645,0
"Walking training to 1 or more areas, each 15 minutes",Very-Low,0.990999,0
Thyroid hormone evaluation,Very-Low,0.57397765,0
"X-ray of mandible, minimum of 4 views",Very-Low,0.99762374,0
"Pessary, non rubber, any type",Very-Low,0.9304746,0
Observation and recording of abnormal eye movement,Low,0.8196505,0
"Brachytherapy source, stranded, iodine-125, per source",Very-Low,0.9972882,0
"Detection test for Influenza virus, A or B",Very-Low,0.9840986,0
Radiological supervision and interpretation of removal of obstructive material from large vein catheter procedure,Low,0.8922776,0
"X-ray of bones of face, less than 3 views",Very-Low,0.9997044,0
"Radioelements for brachytherapy, any type, each",Very-Low,0.9427699,0
Observation and recording of abnormal eye movement,Low,0.8196505,0
"Fluoroscopic guidance for insertion, replacement or removal of central venous access device",Very-Low,0.77743626,0
Non-imaging determination of cardiovascular function,Very-Low,0.98474485,0
"X-ray of hand, 2 views",Very-Low,0.99431133,0
Hemoglobin analysis and measurement,Very-Low,0.99892515,0
"X-ray of breast bone, minimum of 2 views",Very-Low,0.9949805,0
"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",Very-Low,0.80934644,0
"X-ray of both knees, standing, front to back view",Very-Low,0.9795648,0
"X-ray of heel, minimum of 2 views",Very-Low,0.8867267,0
Assessment of speech hearing loss,Very-Low,0.9026352,0
"Protein measurement, serum",Very-Low,0.99960333,0
"Injection, non-radioactive, non-contrast, visualization adjunct (e.g., methylene blue, isosulfan blue), 1 mg",Very-Low,0.9997421,0
Immunologic analysis for detection of tumor antigen,Very-Low,0.9889264,0
CT scan bone mineral density study 1 or more sites,Low,0.9946241,0
Erythropoietin (protein) level,Very-Low,0.9986866,0
Measurement and graphic recording of total and timed exhaled air capacity,Very-Low,0.999933,0
"Hemoglobin measurement, per day",Very-Low,0.9970963,0
Gabapentin level,Very-Low,0.9491988,0
"X-ray of junction of breast and collar bones, minimum of 2 views",Very-Low,0.98529136,0
Removal of single thickened skin growth,Very-Low,0.7603315,0
"Smoking and tobacco use intensive counseling, greater than 10 minutes",Very-Low,0.9997514,0
"Ventilation assistance and management, nursing facility per day",Low,0.9993981,0
"X-ray of sacroiliac joints, less than 3 views",Very-Low,0.998613,0
"Brachytherapy source, non-stranded, cesium-131, per source",Very-Low,0.5628483,0
Exercises to correct eyeball muscle imbalances,Very-Low,0.81772274,0
"X-ray of mastoid, less than 3 views per side",Very-Low,0.99973685,0
"Remote evaluations of implantable heart recorder system including transmissions, technician review, support, and distribution of results up to 30 days",Very-Low,0.9570779,0
Osteopathic manipulative treatment to 3-4 body regions,Very-Low,0.99327236,0
"X-ray of spine, 2 or 3 views",Very-Low,0.99976605,0
Screening examination of specimen cells,Very-Low,0.9649492,0
Smear for parasites,Very-Low,0.9909423,0
Administration of hepatitis b vaccine,Very-Low,0.981143,0
"Strep test (Streptococcus, group A)",Very-Low,0.9983392,0
Imaging of abdomen and chest,Very-Low,0.9169841,0
Nuclear medicine study of lung ventilation,Very-Low,0.84789973,0
"Evaluation of occupational therapy, typically 30 minutes",Low,0.76534754,0
Ultrasonic guidance for drainage of sac that covers the heart,Low,0.9814261,0
Thyroxine (thyroid chemical) measurement,Very-Low,0.99934584,0
"Iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta",Very-Low,0.9730497,0
"Dihydroxyvitamin D, 1, 25 level",Very-Low,0.9109328,0
"Exercise or drug-induced heart and blood vessel stress test with EKG monitoring, physician interpretation and report",Very-Low,0.610041,0
Detection test for clostridium difficile,Low,0.67376786,0
Ultrasound guidance for accessing into blood vessel,Low,0.61998206,0
Recording of gastrointestinal electrical activity of stomach,Very-Low,0.86223817,0
Collection and analysis of exhaled air and carbon dioxide for evaluation of lung function,Very-Low,0.9990362,0
"Evaluation, recording, and interpretation of swallowing using an endoscope",Low,0.7434349,0
"X-ray of chest, 2 views, front and side",Very-Low,0.9993868,0
Phenytoin level,Very-Low,0.9491988,0
Diagnostic examination of ear and nose,Very-Low,0.7121097,0
"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Very-Low,0.9997677,0
"Radiological supervision and interpretation X-ray of kidney cyst, lower back contrast injection",Low,0.98825085,0
Measurement of field of vision during daylight conditions,Very-Low,0.999042,0
Detection test for clostridium difficile,Low,0.67376786,0
"Hemoglobin measurement, per day",Very-Low,0.9970963,0
"X-ray of bones of face, less than 3 views",Very-Low,0.9997044,0
Gentamicin (antibiotic) level,Very-Low,0.99810743,0
Irrigation of vagina and/or application of drug to treat infection,Moderate-High,0.37995133,0
Examination of eye by ophthalmoscope with retinal drawing,Very-Low,0.88438904,0
Imaging for abscess or abnormal drainage tract procedure,Low,0.5952255,0
Single measurement of remaining air or lung capacity after exhalation,Very-Low,0.9522635,0
Detection test for human papillomavirus (hpv),Low,0.98610395,0
"X-ray of abdomen, single view",Very-Low,0.999801,0
"Cast supplies, short leg cast, adult (11 years +), fiberglass",Low,0.9951715,0
X-ray survey of forearm or wrist bone density,Very-Low,0.9514516,0
"X-ray of hand, minimum of 3 views",Very-Low,0.9795522,0
"Health and behavior intervention, individual each 15 minutes",Very-Low,0.99963474,0
Screening examination of specimen cells,Very-Low,0.9649492,0
Measurement of field of vision during daylight conditions,Very-Low,0.999042,0
Oral introduction of long drainage tube into small bowel,Very-Low,0.98380613,0
"Imaging of brain, less than 4 static views",Very-Low,0.9277099,0
"X-ray of spine of neck, 2 or 3 views",Very-Low,0.9996623,0
"X-ray of spine, 1 view",Very-Low,0.99951386,0
Analysis of pressure of upper limb artery with interpretation and report,Low,0.7082191,0
Imaging of abdomen,Very-Low,0.87114716,0
Detection test for clostridium difficile toxins (stool pathogen),Very-Low,0.87528354,0
"Medical nutrition therapy, assessment and intervention, each 15 minutes",Very-Low,0.9893484,0
Ultrasound of arm or leg,Low,0.5212817,0
Hemoglobin A1C level,Very-Low,0.9966287,0
Imaging of urinary tract with injection of contrast into a vein,Low,0.56551296,0
PSA (prostate specific antigen) measurement,Very-Low,0.9973515,0
Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,Very-Low,0.99877006,0
Gammaglobulin (immune system protein) measurement,Very-Low,0.9986218,0
Ultrasonic guidance imaging supervision and interpretation for amniocentesis,Very-Low,0.542478,0
"Coagulation or fibrinolysis (clot dissolving) function measurement with interpretation and written report, per day",Very-Low,0.99790716,0
"Injection beneath the skin or into muscle for therapy, diagnosis, or prevention",Low,0.57102835,0
Gammaglobulin (immune system protein) measurement,Very-Low,0.9986218,0
"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list separately in addition to g0204 or g0206)",Very-Low,0.99176323,0
Fracture assessment of spine bones using dedicated X-ray machine for bone density measurement,Very-Low,0.99919254,0
Imaging of brain and spinal cord fluid flow in brain compartments (ventricles),Low,0.9978452,0
Rheumatoid factor level,Very-Low,0.99842644,0
Screening examination of specimen cells,Very-Low,0.9649492,0
"Medical nutrition therapy re-assessment and intervention, each 15 minutes",Very-Low,0.9966678,0
Hearing test using earphones,Very-Low,0.681466,0
Blood osmolality (concentration) measurement,Very-Low,0.9499721,0
Organic acid level,Very-Low,0.99808866,0
Thyroglobulin (thyroid related hormone) level,Very-Low,0.9985104,0
"Chiropractic manipulative treatment, 3 to 4 spinal regions",Very-Low,0.9961514,0
Diagnostic imaging of retina,Very-Low,0.91753924,0
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Very-Low,0.99782336,0
"Evaluation of implantable heart recorder system including physician analysis, review, and report",Very-Low,0.7924289,0
Immunologic analysis for detection of organism,Very-Low,0.80310935,0
Imaging of small intestine,Very-Low,0.721045,0
Phosphatase (enzyme) measurement,Very-Low,0.8888737,0
Imaging of jaws and skull for orthodontic purposes,Low,0.98152727,0
DNA testing for genetic defects,Low,0.81208545,0
"Subsequent hospital inpatient care, typically 15 minutes per day",Very-Low,0.92295074,0
Routine EKG using at least 12 leads including interpretation and report,Very-Low,0.99726874,0
Electrical stimulation for guidance with injection of chemical for destruction of muscles,Very-Low,0.72334915,0
"Follow-up or limited heart doppler ultrasound study of heart blood flow, valves, and chambers",Very-Low,0.57108426,0
"X-ray of mastoid, minimum of 3 views per side",Very-Low,0.99931085,0
Special stain for parasites,Very-Low,0.9994155,0
"Gonadotropin, luteinizing (reproductive hormone) level",Very-Low,0.998044,0
Determination of lung volumes using plethysmography,Very-Low,0.9773262,0
Radiological supervision and interpretation X-ray of tear drainage structure of eye,Very-Low,0.77611715,0
"Catheterization for collection of specimen, single patient, all places of service",Very-Low,0.97305363,0
Cell examination of specimen,Low,0.8409462,0
"Imaging of 2 or more joints, single view",Very-Low,0.9993573,0
"High osmolar contrast material, 300-349 mg/ml iodine concentration, per ml",Moderate-Low,0.9419001,0
Measurement and graphic recording of total and timed exhaled air capacity,Very-Low,0.999933,0
Assessment of eardrum and muscle function,Very-Low,0.95099837,0
"X-ray of upper arm, minimum of 2 views",Very-Low,0.9601176,0
Radiological supervision and interpretation X-ray of elbow,Low,0.68172514,0
X-ray of small intestine by small bowel tube,Low,0.6829592,0
Carcinoembryonic antigen (CEA) protein level,Very-Low,0.99967825,0
Injection of chemical for destruction of sweat glands,Low,0.9630727,1
Incision and drainage of roof of mouth or its soft tissue projection,Moderate-Low,0.96329623,1
"Skin graft at trunk, arms, or legs",Low,0.75424373,1
Psychological testing with interpretation and report by psychologist or physician per hour,Low,0.99936944,1
Assessment of muscle signal of pelvic nerves,Low,0.62639624,1
Mechanical separation of platelet cells from blood,Low,0.9850064,1
Radiological supervision and interpretation of imaging of artery of breast,Low,0.9338778,1
Fine needle aspiration using imaging guidance,Low,0.97942734,1
Suture of internal abdominal lining using an endoscope,Moderate-High,0.48756674,1
"Incision of abscess, cyst, or blood accumulation in mouth",Moderate-Low,0.46100524,1
Nuclear medicine study limited area,Very-Low,0.816529,1
MRI scan of upper spinal canal with contrast,Low,0.9290598,1
Tying or incision of fallopian tubes at time of cesarean delivery or other abdominal surgery,Moderate-Low,0.8331463,1
"Evaluation of defibrillator including connection, recording and disconnection",Low,0.69009995,1
Blood bank physician services for cross match and/or evaluation and written report,Low,0.9668883,1
Radiological supervision and interpretation of drawing blood via catheter procedure,Low,0.8041537,1
"Radiological supervision and interpretation of imaging of liver vein with assessment of blood flow, injection of contrast (accessed through the skin)",Low,0.98473585,1
CT scan of face before and after contrast,Low,0.99884605,1
Family psychotherapy,Low,0.8246214,1
Removal of central venous catheter for infusion,Low,0.7737787,1
"Observation, testing, and recording of abnormal eye movement",Low,0.95209867,1
"Strapping, Unna boot",Low,0.9817184,1
X-ray of upper digestive tract,Low,0.45962825,1
Insertion of electronic device into bladder with bladder canal (urethra) pressure studies,Moderate-Low,0.6174768,1
Injection of veins in rectum,Low,0.9623,1
"Dialysis training, patient helper, completed course",Low,0.86955154,1
"Nerve transmission studies, 7-8 studies",Low,0.98983663,1
Removal of foreign bodies in large bowel using an endoscope,Moderate-Low,0.90094286,1
Diagnostic examination of large bowel using an endoscope,Low,0.68366903,1
CT scan of pelvic blood vessels with contrast,Low,0.9303551,1
MRI scan of chest with contrast,Low,0.96965665,1
Biopsy of bone using needle or trocar,Low,0.9625062,1
Injection of X-ray contrast material for ultrasound examination of the heart,Low,0.9810372,1
Nuclear medicine study of kidney,Very-Low,0.5390462,1
Hearing assessment of abnormal sounds,Very-Low,0.91995704,1
"Examination of head, neck, including ears, nose and throat under general anesthesia",Low,0.9171014,1
Osteopathic manipulative treatment to 9-10 body regions,Low,0.89946246,1
Freezing destruction of anal growths,Low,0.7789051,1
Injection of dye for X-ray imaging of wrist joint,Low,0.9872515,1
Measurement of electrical activity (EEG) outside the brain during surgery,Moderate-Low,0.7284074,1
Insertion of catheter into windpipe and lung airways for removal of secretions at bedside using an endoscope,Moderate-Low,0.9808358,1
Ultrasound of one breast,Low,0.76004213,1
X-ray of middle spinal canal with radiological supervision and interpretation,Low,0.65852743,1
"Destruction of malignant growth (0.5 centimeters) of scalp, neck, hands, feet, or genitals",Low,0.75456786,1
MRI scan of leg joint with contrast,Low,0.98657274,1
CT scan,Low,0.99661404,1
Imaging of lymphatic tissue and lymph node,Low,0.97938424,1
Injection for X-ray imaging of aorta above heart valve,Low,0.9726188,1
Radiation therapy plan,Low,0.995112,1
Electronic analysis reprogramming and refill of spinal canal drug infusion pump,Low,0.9926905,1
Nuclear medicine study of cardiovascular systems,Low,0.9966073,1
"Needle biopsy of liver, accessed through the skin",Low,0.61696595,1
Electronic analysis and programming of implanted complex deep brain neurostimulator generator system,Moderate-Low,0.8389526,1
Removal of cranial tongs or halo (stabilization device for skull),Moderate-High,0.56060046,1
"Electronic analysis and programming of implanted complex cranial neurostimulator generator system during or after surgery, first hour",Low,0.96382594,1
Ultrasound guidance for repair of blood vessel,Low,0.47655126,1
Nuclear medicine study of brain and spinal cord fluid flow,Low,0.99756706,1
Closure of tear duct opening using plug,Moderate-High,0.5565911,1
"Nerve transmission studies, 1-2 studies",Low,0.97883534,1
"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",Low,0.89810365,1
Removal of drug delivery implant from tissue,Low,0.9640933,1
"Removal of blood clot in heart artery, accessed through the skin",High,0.8688537,1
Pathology examination of tissue specimen during surgery,Low,0.76149523,1
Fetal contraction stress test,Low,0.97096,1
Radiation therapy consultation per week,Low,0.89314747,1
Insertion of catheter into breast for radiation therapy concurrent with partial breast removal using imaging guidance,Moderate-Low,0.56926143,1
