,description,place,charged_amount,label,label_id
727,"Medical nutrition therapy; reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition or treatment regimen (including additional hours needed for renal disease), individual, face to face wi",F,40.11,Very-Low,0
729,Imaging of urinary tract using infusion technique with kidney section filming,F,82.06,Very-Low,0
732,Testing of lung function at high altitude,F,74.17,Very-Low,0
750,Tissue fungi or parasites,F,106.08,Very-Low,0
758,Ceruloplasmin (protein) level,F,32.15,Very-Low,0
760,Ultrasound of dialysis access,F,101.81,Very-Low,0
775,Bone marrow aspiration performed with bone marrow biopsy through the same incision on the same date of service,F,94.08,Very-Low,0
779,"Trimming of dystrophic nails, any number",F,38.05,Very-Low,0
780,"Pathologist examination, dissection, and preparation of tissue during surgery",F,88.76,Very-Low,0
786,Strapping of toes,F,63.02,Very-Low,0
799,Ultrasound of chest,F,119.75,Very-Low,0
810,"Established patient office or other outpatient visit, typically 5 minutes",F,46.42,Very-Low,0
811,"Radiation treatment devices, design and construction, simple",F,105.88,Very-Low,0
814,Immunologic analysis for detection of tumor antigen,F,77.74,Very-Low,0
831,Detection test for giardia (intestinal parasite),F,27.42,Very-Low,0
834,Photography of content of eyes,F,45.29,Very-Low,0
839,Ultrasound of leg or arm,F,120.83,Very-Low,0
845,Air and bone conduction assessment of hearing loss and speech recognition,F,103.03,Very-Low,0
858,"X-ray of knee, 1 or 2 views",F,38.18,Very-Low,0
860,Diagnostic examination of ear and nose,F,75.97,Very-Low,0
865,Measurement of complement (immune system proteins),F,33.16,Very-Low,0
866,Separation of nail plate from nail bed,F,81.6,Very-Low,0
871,Microscopic genetic analysis of tissue,F,91.57,Very-Low,0
873,Chemical analysis using spectrophotometry (light),F,41.56,Very-Low,0
876,Use of vertical electrodes during eye or balance evaluation,F,26.74,Very-Low,0
877,Evaluation of hearing rehabilitation,F,74.51,Very-Low,0
879,Hepatitis C antibody measurement,F,59.02,Very-Low,0
880,Placement of ear probe for computerized measurement of sound with interpretation and report,F,55.47,Very-Low,0
882,"X-ray of hip with pelvis, minimum of 4 views",F,60.13,Very-Low,0
909,"Hyperbaric oxygen under pressure, full body chamber, per 30 minute interval",F,100.47,Very-Low,0
919,Bone density measurement using dedicated X-ray machine,F,56.19,Very-Low,0
930,"X-ray of both sides of the ribs including the chest, minimum of 4 views",F,64.74,Very-Low,0
933,Exercises to correct eyeball muscle imbalances,F,106.59,Very-Low,0
943,Radiological supervision and interpretation of removal of obstructive material from large vein catheter procedure,F,81.87,Very-Low,0
944,"Electrocardiogram, routine ecg with 12 leads; interpretation and report only, performed as a screening for the initial preventive physical examination",F,30.36,Very-Low,0
964,"Pathology examination of tissue using a microscope, limited examination",F,40.05,Very-Low,0
995,Preparation of tissue for examination by removing any calcium present,F,49.6,Very-Low,0
1000,Calcium level,F,38.56,Very-Low,0
1008,Culture for acid-fast bacilli,F,63.85,Very-Low,0
1013,"Allergy testing with venoms into or within skin, immediate type reaction, including test interpretation and report",F,24.42,Very-Low,0
1017,Nuclear medicine kidney function study,F,91.45,Very-Low,0
1028,"Radioelements for brachytherapy, any type, each",F,82.66,Very-Low,0
1043,Osteopathic manipulative treatment to 7-8 body regions,F,121.05,Very-Low,0
1060,Heart rhythm tracing of 48-hour EKG,F,88.45,Very-Low,0
1061,Heart rhythm symptom-related interpretation of 24-hour EKG monitoring up to 30 days,F,103.02,Very-Low,0
1124,"X-ray of both knees, standing, front to back view",F,38.2,Very-Low,0
1132,Detection test for bacteria toxin (shiga-like toxin),F,64.3,Very-Low,0
1150,Radiological supervision and interpretation X-ray of tear drainage structure of eye,F,57.98,Very-Low,0
1177,Lithium level,F,24.83,Very-Low,0
1178,"Annual depression screening, 15 minutes",F,37.52,Very-Low,0
1180,Physician interpretation and report of measurement and graphic recording of amount and speed of breathed air over 30-day period,F,62.56,Very-Low,0
1191,Radiological supervision and interpretation X-ray of bile and/or pancreatic ducts during surgery,F,75.94,Very-Low,0
1203,Magnesium level,F,35.13,Very-Low,0
1210,Detection test for influenza virus,F,38.99,Very-Low,0
1219,Antibody evaluation,F,104.22,Very-Low,0
1222,Radiological supervision and interpretation X-ray of lower abdominal and genital region,F,90.12,Very-Low,0
1223,"X-ray of foot, 2 views",F,34.2,Very-Low,0
1231,"Blood test, comprehensive group of blood chemicals",F,44.11,Very-Low,0
1255,"Insertion of needle into vein, patient 3 years or older",F,83.76,Very-Low,0
1282,Specimen analysis for blood,F,24.83,Very-Low,0
1311,"Injection, bevacizumab, 0.25 mg",F,45.93,Very-Low,0
1321,"Remote evaluations of implantable heart recorder system including physician analysis, review, and report up to 30 days",F,90.51,Very-Low,0
1326,"X-ray of sacroiliac joints, 3 or more views",F,40.5,Very-Low,0
1329,Strapping of hip,F,60.89,Very-Low,0
1338,Ultrasound study of arteries and arterial grafts of one leg or limited,F,110.75,Very-Low,0
1347,Tacrolimus level,F,100.54,Very-Low,0
1348,Declotting infusion of implanted central venous access device or catheter,F,110.28,Very-Low,0
1356,Special stained specimen slides to examine tissue including interpretation and report,F,61.58,Very-Low,0
1372,Vaccine for influenza injection into skin,F,100.0,Very-Low,0
1390,Assessment of speech hearing loss,F,43.54,Very-Low,0
1399,"Subsequent hospital inpatient care, typically 15 minutes per day",F,96.67,Very-Low,0
1404,Kidney function blood test panel,F,40.76,Very-Low,0
1405,"X-ray of hip with pelvis, minimum of 4 views",F,60.95,Very-Low,0
1410,"X-ray of shoulder, 1 view",F,33.73,Very-Low,0
1412,"Application of ultrasound to 1 or more areas, each 15 minutes",F,40.9,Very-Low,0
1415,"Therapeutic procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",F,49.23,Very-Low,0
1427,"Blood test, thyroid stimulating hormone (TSH)",F,59.42,Very-Low,0
1440,Assessment and recording of abnormal eye movement with patient in a rotating chair,F,94.83,Very-Low,0
1465,"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with screening by automated system and manual rescreening under physician supervision",F,75.92,Very-Low,0
1466,"X-ray of chest, 2 views, front and side",F,44.03,Very-Low,0
1468,Pure tone air conduction threshold hearing assessment,F,24.92,Very-Low,0
1472,Imaging of abdomen,F,47.71,Very-Low,0
1514,Oral introduction of long drainage tube into small bowel,F,106.12,Very-Low,0
1516,Prostate cancer screening; digital rectal examination,F,46.28,Very-Low,0
1517,"Remote evaluations of single, dual, or multiple lead pacemaker with physician analysis, review, and report up to 90 days",F,121.77,Very-Low,0
1524,Administration of 1 vaccine,F,53.56,Very-Low,0
1532,"Gonadotropin, follicle stimulating (reproductive hormone) level",F,71.65,Very-Low,0
1544,Examination of eye by ophthalmoscope with retinal drawing,F,79.61,Very-Low,0
1551,Coagulation function measurement,F,39.87,Very-Low,0
1579,Carboxyhemoglobin (protein) level,F,85.0,Very-Low,0
1588,Arterial puncture withdrawal of blood for diagnosis,F,91.28,Very-Low,0
1589,Lung function response to low oxygen,F,96.05,Very-Low,0
1590,"Diabetes outpatient self-management training services, individual, per 30 minutes",F,100.45,Very-Low,0
1592,Total cell count for B cells (white blood cells),F,80.09,Very-Low,0
1604,"New patient office or other outpatient visit, typically 10 minutes",F,97.28,Very-Low,0
1610,"Brachytherapy source, stranded, palladium-103, per source",F,102.57,Very-Low,0
1615,Psychological testing with interpretation and report by technician per hour,F,76.94,Very-Low,0
1628,Immunologic analysis technique on serum,F,72.87,Very-Low,0
1635,"Electrocardiogram, routine ecg with 12 leads; interpretation and report only, performed as a screening for the initial preventive physical examination",F,35.42,Very-Low,0
1651,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (flulaval)",F,27.08,Very-Low,0
1653,"Screening cytopathology smears, cervical or vaginal, performed by automated system with manual rescreening",F,91.8,Very-Low,0
1667,"X-ray of femur, minimum 2 views",F,37.19,Very-Low,0
1681,Lactate dehydrogenase (enzyme) level,F,24.14,Very-Low,0
1697,Triglycerides level,F,24.41,Very-Low,0
1707,"X-ray of femur, minimum 2 views",F,37.53,Very-Low,0
1715,Fibrinogen (factor 1) activity measurement,F,51.72,Very-Low,0
1722,Testing of autonomic (sympathetic) nervous system function at least 5 minutes of tilt,F,84.57,Very-Low,0
1754,"Application of electrical stimulation to 1 or more areas, each 15 minutes",F,53.55,Very-Low,0
1759,Photography of content of eyes,F,33.4,Very-Low,0
1777,Cell examination of body fluid,F,101.3,Very-Low,0
1781,Recording of electrical activity of stomach with administration of drug,F,104.45,Very-Low,0
1784,Examination of cornea and iris using lens device and slit lamp,F,75.38,Very-Low,0
1795,Ultrasound scan of veins of one arm or leg or limited including assessment of compression and functional maneuvers,F,106.32,Very-Low,0
1798,"Screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory",F,64.99,Very-Low,0
1800,Preparation and provision of single stinging insect venom for allergen immunotherapy,F,39.77,Very-Low,0
1806,Assessment of hearing loss with placement of probe in ear to assess ear bone contraction,F,44.96,Very-Low,0
1813,Special stained specimen slides to examine tissue and frozen preparation of specimen including interpretation and report,F,88.34,Very-Low,0
1824,Preparation of tissue for examination by removing any calcium present,F,49.07,Very-Low,0
1846,Separation of nail plate from nail bed,F,77.55,Very-Low,0
1847,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes",F,46.42,Very-Low,0
1850,Screening digital tomography of both breasts,F,83.57,Very-Low,0
1857,Ultrasound of bone density measurement,F,34.68,Very-Low,0
1860,Insulin measurement,F,54.76,Very-Low,0
1862,Pap test,F,90.95,Very-Low,0
1866,Amylase (enzyme) level,F,26.49,Very-Low,0
1876,PSA (prostate specific antigen) measurement,F,69.73,Very-Low,0
1881,Pulmonary service or operation,F,76.58,Very-Low,0
1887,"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral)",F,26.04,Very-Low,0
1893,"Protein measurement, serum",F,62.06,Very-Low,0
1913,Creatinine clearance measurement to test for kidney function,F,23.94,Very-Low,0
1930,Glutamyltransferase (liver enzyme) level,F,33.41,Very-Low,0
1959,CT scan of heart with evaluation of blood vessel calcium,F,113.53,Very-Low,0
1969,"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral)",F,26.58,Very-Low,0
1977,Radiological supervision and interpretation of balloon dilation of narrowed artery,F,94.53,Very-Low,0
1980,"X-ray of chest, minimum of 4 views",F,60.38,Very-Low,0
1994,"Evaluation of orthotic or prosthetic use, each 15 minutes",F,119.93,Very-Low,0
2006,Blood sodium level,F,24.94,Very-Low,0
2015,Ultrasound b-scan and/or real time with image documentation; for abdominal aortic aneurysm (aaa) screening,F,117.07,Very-Low,0
2018,Analysis for antibody to Helicobacter pylori (gastrointestinal bacteria),F,58.99,Very-Low,0
2019,"X-ray of pelvis, 1 or 2 views",F,38.71,Very-Low,0
2022,"Dialysis services, per day (less than full month service), patient 20 years of age or older",F,24.21,Very-Low,0
2026,Assessment and recording of balance system during hot and cold irrigation of both ears,F,118.25,Very-Low,0
2035,Administration of 1 vaccine,F,41.93,Very-Low,0
2049,Measurement of substance using immunoassay technique,F,57.58,Very-Low,0
2067,Analysis of substance using immunoassay technique,F,44.97,Very-Low,0
2068,Analysis for antibody to Helicobacter pylori (gastrointestinal bacteria),F,45.52,Very-Low,0
2084,Radiological supervision and interpretation X-ray of urinary tract,F,92.62,Very-Low,0
2104,Hepatitis B surface antibody measurement,F,46.29,Very-Low,0
2105,Imaging for bone age assessment,F,43.82,Very-Low,0
2123,Measurement of lung diffusing capacity,F,47.58,Very-Low,0
2124,Lamotrigine level,F,60.73,Very-Low,0
2129,Clinical pathology consultation,F,101.48,Very-Low,0
2140,"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and intervention, greater than 30 minutes",F,121.47,Very-Low,0
2159,Imaging for evaluation of swallowing function,F,105.3,Very-Low,0
2181,Recording to evaluate height and duration of heart beats through damaged heart tissue,F,36.46,Very-Low,0
2184,Assessment of hearing loss and speech recognition,F,31.45,Very-Low,0
2187,Measuring the stiffness in the liver via elastography,F,73.84,Very-Low,0
2192,Clozapine level,F,51.9,Very-Low,0
2211,"Evaluation, testing, and programming adjustment of permanent single lead pacemaker system with physician analysis, review, and report",F,107.13,Very-Low,0
2232,Nuclear medicine study of lung ventilation,F,108.13,Very-Low,0
2236,Removal of tissue from 6 or more finger or toe nails,F,69.61,Very-Low,0
2247,Bacterial blood culture,F,48.79,Very-Low,0
2255,Complex eye movement test while viewing objects in visual field,F,49.18,Very-Low,0
2271,Telehealth originating site facility fee,F,27.83,Very-Low,0
2293,"X-ray of mandible, less than 4 views",F,38.21,Very-Low,0
2297,Strapping of ankle and/or foot,F,95.54,Very-Low,0
2350,Moderate sedation services by physician or health care provider also performing a procedure,F,96.13,Very-Low,0
2355,Body fluid cell count with cell identification,F,42.37,Very-Low,0
2360,"Imaging of brain with blood flow, less than 4 static views",F,116.43,Very-Low,0
2370,Measurement of substance using immunoassay technique,F,45.87,Very-Low,0
2407,Special stained specimen slides to examine tissue,F,107.36,Very-Low,0
2424,"X-ray of pelvis, minimum of 3 views",F,48.7,Very-Low,0
2434,Tuberculosis test,F,117.34,Very-Low,0
2436,Osteopathic manipulative treatment to 5-6 body regions,F,104.86,Very-Low,0
2439,Measurement of oxygen saturation in blood using ear or finger device,F,28.18,Very-Low,0
2447,"Alpha-fetoprotein (AFP) level, serum",F,82.63,Very-Low,0
2455,X-ray of jaw joint on one side of the face,F,38.24,Very-Low,0
2460,Coagulation function screening test with interpretation and report,F,68.47,Very-Low,0
2465,Gentamicin (antibiotic) level,F,52.0,Very-Low,0
2490,Body fluid cell count with cell identification,F,54.12,Very-Low,0
2507,Hydration infusion into a vein,F,43.23,Very-Low,0
2519,"X-ray of pelvis, minimum of 2 views",F,38.35,Very-Low,0
2527,Troponin (protein) analysis,F,37.28,Very-Low,0
2533,"Follow-up or limited heart doppler ultrasound study of heart blood flow, valves, and chambers",F,59.0,Very-Low,0
2549,Radiological supervision and interpretation of dilation of biliary duct (accessed through the skin),F,56.78,Very-Low,0
2556,"Pessary, non rubber, any type",F,80.1,Very-Low,0
2558,"Brachytherapy source, non-stranded, palladium-103, per source",F,80.83,Very-Low,0
2564,"X-ray of hand, 2 views",F,33.76,Very-Low,0
2587,Pap test (Pap smear),F,52.69,Very-Low,0
2595,"Alpha-fetoprotein (AFP) level, serum",F,46.55,Very-Low,0
2596,Catheterization for collection of specimen(s) (multiple patients),F,62.88,Very-Low,0
2597,Imaging of kidney,F,101.25,Very-Low,0
2605,"Exercise or drug-induced heart and blood vessel stress test with EKG monitoring, physician interpretation and report",F,82.28,Very-Low,0
2606,Thyroxine (thyroid chemical) measurement,F,55.46,Very-Low,0
2634,Nuclear medicine study of heart function at rest or stress with evaluation of blood ejection from heart,F,92.07,Very-Low,0
2640,Physician service required to establish and document the need for a power mobility device,F,32.93,Very-Low,0
2651,"Imaging of brain with blood flow, less than 4 static views",F,107.05,Very-Low,0
2673,Collection and analysis of exhaled air for evaluation of lung function at rest,F,33.87,Very-Low,0
2686,"Manual muscle testing of arm, leg or trunk",F,87.58,Very-Low,0
2703,Preparation and provision of 4 single stinging insect venom for allergen immunotherapy,F,67.49,Very-Low,0
2715,"X-ray of mandible, less than 4 views",F,38.77,Very-Low,0
2724,Observation and recording from multiple positions of abnormal eye movements,F,74.68,Very-Low,0
2733,Pap test (Pap smear),F,84.92,Very-Low,0
2777,"X-ray of paranasal sinus, complete, minimum of 3 views",F,49.49,Very-Low,0
2781,Thyroxine (thyroid chemical) measurement,F,41.99,Very-Low,0
2798,Nuclear medicine study of heart function at rest or stress with evaluation of blood ejection from heart,F,90.38,Very-Low,0
2813,"Imaging of brain with blood flow, minimum of 4 static views",F,95.85,Very-Low,0
2816,Pap test,F,65.62,Very-Low,0
2841,"Evaluation, recording, and interpretation of swallowing using an endoscope",F,110.88,Very-Low,0
2854,Concentration of specimen for infectious agents,F,42.91,Very-Low,0
2859,"X-ray of eye bones, minimum of 4 views",F,55.28,Very-Low,0
2862,"Moderate sedation services by physician also performing a procedure, patient 5 years of age or older, first 15 minutes",F,101.18,Very-Low,0
2867,Biopsy of each additional growth of skin and/or tissue,F,88.25,Very-Low,0
2884,"T cells count, total",F,66.78,Very-Low,0
2905,Evaluation of eye adaptation to light and dark (rods and cones),F,52.03,Very-Low,0
2910,Hepatitis B core antibody measurement,F,67.82,Very-Low,0
2919,"X-ray of chest, complete, minimum of 4 views",F,98.16,Very-Low,0
2922,"Imaging of brain, less than 4 static views",F,86.69,Very-Low,0
2934,"Evaluation, physician analysis, review, report, and programming adjustment of single, dual, or multiple lead pacemaker system",F,50.74,Very-Low,0
2941,C-peptide (protein) level,F,95.19,Very-Low,0
2946,Antibody evaluation,F,103.28,Very-Low,0
2950,"Self-care or home management training, each 15 minutes",F,107.07,Very-Low,0
2973,"Evaluation, testing, and programming adjustment of implantable, patient activated heart recorder system including physician analysis, review, and report",F,89.12,Very-Low,0
2981,External EKG recording for more than 48 hours up to 21 days,F,98.09,Very-Low,0
2986,Bacterial culture and colony count,F,42.0,Very-Low,0
2987,Diagnostic imaging of eyes,F,80.64,Very-Low,0
2990,"X-ray of middle spine, 3 views",F,45.91,Very-Low,0
2997,Examination of retinal blood vessels by ophthalmoscope,F,117.68,Very-Low,0
3005,"Pathologist examination, dissection, and preparation of tissue during surgery",F,75.08,Very-Low,0
3041,"Face-to-face behavioral counseling for obesity, 15 minutes",F,46.78,Very-Low,0
3043,"Application of electrical stimulation to 1 or more areas, each 15 minutes",F,39.48,Very-Low,0
3054,Special stained specimen slides to examine tissue and frozen preparation of specimen including interpretation and report,F,88.7,Very-Low,0
3088,"Radiation treatment delivery, superficial",F,24.54,Very-Low,0
3094,MRI of blood flow of heart,F,64.75,Very-Low,0
3100,"X-ray of knee, 1 or 2 views",F,37.66,Very-Low,0
3118,Imaging of liver blood flow,F,108.39,Very-Low,0
3124,Lamotrigine level,F,59.43,Very-Low,0
3126,"Development of cognitive skills to improve attention, memory, or problem solving, each 15 minutes",F,35.51,Very-Low,0
3144,"Iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta",F,82.49,Very-Low,0
3152,Removal of impacted ear wax by washing,F,57.63,Very-Low,0
3159,Osteopathic manipulative treatment to 3-4 body regions,F,82.46,Very-Low,0
3179,"Blood test, basic group of blood chemicals",F,32.94,Very-Low,0
3180,Vitamin D-3 level,F,71.13,Very-Low,0
3189,Stool culture,F,63.26,Very-Low,0
3192,"Medical nutrition therapy, assessment and intervention, each 15 minutes",F,65.71,Very-Low,0
3206,"X-ray of abdomen, single view",F,38.99,Very-Low,0
3208,"X-ray of lower leg, 2 views",F,36.6,Very-Low,0
3223,X-ray of bone at base of skull,F,46.6,Very-Low,0
3241,X-ray of jaw joints on both sides of the face,F,51.48,Very-Low,0
3251,Imaging of salivary gland,F,102.02,Very-Low,0
3253,Cell examination of body fluid,F,84.31,Very-Low,0
3257,"X-ray of ribs of one side of body, 2 views",F,44.5,Very-Low,0
3266,Manual muscle testing of whole body including hands,F,91.22,Very-Low,0
3268,Imaging of bone marrow limited area,F,106.61,Very-Low,0
3273,Imaging of bone marrow limited area,F,117.46,Very-Low,0
3290,Analysis for antibody to HIV-1 and HIV-2 virus,F,36.85,Very-Low,0
3291,Protein measurement,F,58.7,Very-Low,0
3293,Placement of ear probe for computerized measurement of sound with interpretation and report,F,56.22,Very-Low,0
3310,Cyanocobalamin (vitamin B-12) level,F,49.75,Very-Low,0
3320,"Pulmonary rehabilitation, including exercise (includes monitoring), one hour, per session, up to two sessions per day",F,70.79,Very-Low,0
3327,Measurement of lung stretching capacity,F,52.4,Very-Low,0
3329,Imaging of liver,F,115.03,Very-Low,0
3336,"X-ray of middle spine, minimum of 4 views",F,46.28,Very-Low,0
3338,"Nephelometry, test method using light",F,53.44,Very-Low,0
3343,Lactic acid level,F,64.58,Very-Low,0
3344,Hemoglobin A1C level,F,36.38,Very-Low,0
3347,"Hyperbaric oxygen under pressure, full body chamber, per 30 minute interval",F,94.41,Very-Low,0
3354,"X-ray of shoulder, 1 view",F,33.87,Very-Low,0
3357,Adrenocorticotropic hormone (ACTH) level,F,97.46,Very-Low,0
3359,Organic acid level,F,50.19,Very-Low,0
3360,Flow cytometry technique for DNA or cell analysis,F,89.81,Very-Low,0
3375,"Brachytherapy source, non-stranded, iodine-125, per source",F,54.5,Very-Low,0
3394,Placement of ear probe for computerized cochlear assessment of repeated sounds with interpretation and report,F,80.25,Very-Low,0
3399,"Manual muscle testing of arm, leg or trunk",F,86.46,Very-Low,0
3400,Physician services for outpatient heart cardiac rehabilitation per session,F,79.25,Very-Low,0
3405,Preparation and provision of 3 single stinging insect venom for allergen immunotherapy,F,60.37,Very-Low,0
3407,Administration of pneumococcal vaccine,F,37.95,Very-Low,0
3414,Thyroid stimulating immune globulins (thyroid related protein) level,F,84.36,Very-Low,0
3425,Fungal culture (mold or yeast),F,52.96,Very-Low,0
3436,"Dialysis services, per day (less than full month service), patient younger than 2 years of age",F,72.35,Very-Low,0
3476,Measurement of field of vision during daylight conditions,F,69.19,Very-Low,0
3490,Lactate dehydrogenase (enzyme) level,F,27.19,Very-Low,0
3493,"X-ray of middle spine, 3 views",F,45.18,Very-Low,0
3500,"X-ray of middle spine, minimum of 4 views",F,45.44,Very-Low,0
3512,"Pathologist examination, dissection, and preparation of tissue",F,117.77,Very-Low,0
3517,Computerized mapping of corneal curvature,F,72.84,Very-Low,0
3518,Removal of tissue from 1 to 5 finger or toe nails,F,46.85,Very-Low,0
3522,"Telephonic evaluation of single, dual, or multiple lead pacemaker heart rhythm strips up to 90 days",F,73.76,Very-Low,0
3530,Multiple-family group psychotherapy,F,108.93,Very-Low,0
3537,Air and bone conduction assessment of hearing loss and speech recognition,F,101.08,Very-Low,0
3545,Health and behavior assessment each 15 minutes,F,66.3,Very-Low,0
3549,Glucose (sugar) level on body fluid,F,25.5,Very-Low,0
3551,Nuclear medicine imaging for thyroid uptake measurements,F,98.44,Very-Low,0
3558,Troponin (protein) analysis,F,64.27,Very-Low,0
3573,Immunologic analysis for detection of organism,F,68.74,Very-Low,0
3576,"Psychotherapy, 30 minutes",F,108.23,Very-Low,0
3587,"Blood test, thyroid stimulating hormone (TSH)",F,60.51,Very-Low,0
3605,"Removal of impact ear wax, one ear",F,102.16,Very-Low,0
3607,Thyroxine (thyroid chemical) measurement,F,24.45,Very-Low,0
3632,Molecular pathology procedure; physician interpretation and report,F,90.28,Very-Low,0
3675,X-ray of skull,F,40.69,Very-Low,0
3680,"Screening papanicolaou smear, cervical or vaginal, up to three smears, requiring interpretation by physician",F,93.77,Very-Low,0
3700,Folic acid level,F,48.06,Very-Low,0
3710,Measurement of antibody for assessment of autoimmune disorder,F,46.29,Very-Low,0
3744,"Brachytherapy source, stranded, iodine-125, per source",F,58.59,Very-Low,0
3760,Ultrasound of corneal structure and measurement,F,43.12,Very-Low,0
3766,"X-ray of bones of face, minimum of 3 views",F,52.05,Very-Low,0
3784,Analysis for antibody to HIV-1 and HIV-2 virus,F,37.36,Very-Low,0
3788,Creatine kinase (cardiac enzyme) level,F,38.2,Very-Low,0
3798,Imaging of salivary gland,F,78.56,Very-Low,0
3802,Recording of electrical activity of stomach with administration of drug,F,104.51,Very-Low,0
3803,"Diabetes outpatient self-management training services, group session (2 or more), per 30 minutes",F,50.1,Very-Low,0
3805,Radiological supervision and interpretation X-ray of urinary tract,F,92.71,Very-Low,0
3839,Radiological supervision and interpretation X-ray of salivary structure,F,85.3,Very-Low,0
3840,Genetic testing,F,110.0,Very-Low,0
3858,"X-ray of chest, 2 views, front and side with fluoroscopy",F,80.71,Very-Low,0
3861,Coagulation function measurement,F,59.47,Very-Low,0
3869,Imaging of organ,F,74.54,Very-Low,0
3874,X-ray of voice box and/or esophagus,F,80.43,Very-Low,0
3875,"Psychotherapy, 30 minutes",F,110.77,Very-Low,0
3880,Cervical or vaginal cancer screening; pelvic and clinical breast examination,F,79.93,Very-Low,0
