HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
00210,Anesthesia for procedure on brain,N,F,17299,37846,37578,37808,3167.85,431.46,337.23,335.48
00210,Anesthesia for procedure on brain,N,O,14,14,14,14,2267.79,284.28,228.89,215.80
00211,Anesthesia for procedure to remove blood collection in brain,N,F,11217,15692,15567,15669,2537.75,322.95,251.57,250.56
00212,Anesthesia for procedure to remove fluid in brain,N,F,95,108,107,108,1237.47,152.73,114.14,119.56
00214,Anesthesia for procedure to create holes in skull including X-ray imaging,N,F,7235,9134,9101,9131,1991.12,264.91,207.17,206.31
00215,Anesthesia for procedure to repair skull or skull fracture,N,F,1875,2126,2111,2123,2472.93,314.04,245.20,243.22
00216,Anesthesia for procedure on blood vessel in brain,N,F,2292,2995,2977,2990,4127.47,566.81,440.74,440.97
00218,Anesthesia for procedure on brain patient in sitting position,N,F,329,395,393,395,3765.85,493.67,383.87,380.49
00220,Anesthesia for procedure to drain brain and spinal cord fluid,N,F,8967,12820,12666,12799,2261.84,293.92,229.02,227.97
00220,Anesthesia for procedure to drain brain and spinal cord fluid,N,O,20,26,26,26,2700.38,226.32,177.44,179.72
00222,Anesthesia for procedure on nerve in brain,N,F,349,505,500,505,1137.50,170.23,132.39,129.14
00300,Anesthesia for procedure on esophagus and neck,N,F,60442,242745,238511,242638,1260.22,165.87,128.06,129.11
00300,Anesthesia for procedure on esophagus and neck,N,O,1630,5734,5383,5730,1068.97,139.73,108.45,108.82
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",N,F,49486,164772,163370,164670,1550.78,203.22,157.86,158.20
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",N,O,581,1265,1250,1265,1136.93,153.60,120.59,118.50
00322,Anesthesia for needle biopsy of thyroid,N,F,159,171,171,171,843.41,106.77,81.54,81.95
00350,Anesthesia for procedure on major blood vessels of neck,N,F,24906,60931,60417,60813,2487.29,330.87,257.13,259.23
00350,Anesthesia for procedure on major blood vessels of neck,N,O,15,38,38,38,1853.53,343.10,267.40,268.12
00352,Anesthesia for tying procedure on major blood vessels of neck,N,F,9212,11562,11545,11560,1153.85,146.72,114.15,114.68
00352,Anesthesia for tying procedure on major blood vessels of neck,N,O,93,101,101,101,986.67,127.53,97.55,98.39
00400,"Anesthesia for procedure on skin of arms, legs, or trunk",N,F,69060,390729,384128,390561,951.95,121.10,93.37,93.81
00400,"Anesthesia for procedure on skin of arms, legs, or trunk",N,O,1928,7460,7323,7458,989.80,108.54,84.62,81.27
00402,Anesthesia for breast reconstruction,N,F,19720,33946,33497,33925,1901.12,246.44,189.42,189.95
00402,Anesthesia for breast reconstruction,N,O,544,1038,1027,1038,1497.49,193.52,153.71,146.60
00404,Anesthesia for removal of breast,N,F,7195,9785,9758,9778,1662.97,232.50,180.17,182.36
00404,Anesthesia for removal of breast,N,O,77,110,110,110,1436.48,215.39,193.77,157.84
00406,Anesthesia for removal of breast and lymph nodes,N,F,271,343,342,343,2459.61,356.14,273.55,280.08
00410,Anesthesia for procedure to correct abnormal heart rhythm,N,F,29370,102307,100647,102244,655.91,83.48,64.18,64.27
00410,Anesthesia for procedure to correct abnormal heart rhythm,N,O,158,378,369,378,616.78,72.56,56.16,56.79
0042T,"Computed tomography (CT) of brain blood flow, volume, and timing of flow analysis with contrast",N,F,43,45,45,45,571.17,321.85,249.78,249.88
00450,Anesthesia for procedure on collar bone and shoulder blade,N,F,4761,5326,5297,5325,1516.30,201.39,155.41,157.39
00450,Anesthesia for procedure on collar bone and shoulder blade,N,O,49,51,51,51,1393.27,177.71,137.74,139.27
00454,Anesthesia for biopsy of collar bone,N,F,177,245,245,245,717.78,102.26,89.77,75.69
00454,Anesthesia for biopsy of collar bone,N,O,16,49,49,49,768.27,90.87,70.73,64.86
00470,Anesthesia for partial removal of rib,N,F,1938,2104,2094,2103,1648.03,218.37,168.65,169.86
00470,Anesthesia for partial removal of rib,N,O,10,12,12,12,1239.75,145.87,114.36,115.37
00472,Anesthesia for partial removal of rib and chest wall repair,N,F,292,305,303,305,2616.99,385.83,299.52,308.96
00474,Anesthesia for partial removal of rib and chest wall reconstruction,N,F,209,223,221,223,2890.26,448.20,359.82,354.18
00500,Anesthesia for procedure on esophagus,N,F,2548,3516,3491,3511,4202.19,620.40,484.18,482.46
00520,Anesthesia for closed procedure in chest,N,F,38635,145750,143479,145698,1236.21,158.86,123.62,123.59
00520,Anesthesia for closed procedure in chest,N,O,204,475,470,475,1098.12,148.30,115.09,113.82
00522,Anesthesia for closed needle biopsy of lung,N,F,1593,2634,2628,2632,1040.24,125.98,100.97,96.22
00522,Anesthesia for closed needle biopsy of lung,N,O,16,145,143,145,930.60,138.76,106.57,110.74
00524,Anesthesia for closed drainage of lung fluid,N,F,1165,1384,1372,1383,981.64,128.50,101.92,98.80
00524,Anesthesia for closed drainage of lung fluid,N,O,14,35,34,35,788.83,94.96,74.27,70.81
00528,Anesthesia for closed diagnostic examination of chest using an endoscope,N,F,5892,8456,8451,8456,1825.58,246.11,191.63,191.28
00529,Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation,N,F,4423,5955,5949,5955,2411.84,326.70,254.22,255.13
00529,Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation,N,O,10,13,13,13,2885.62,337.83,249.13,249.12
00530,Anesthesia for insertion of permanent heart pacemaker,N,F,23158,76758,76472,76692,1403.82,173.35,134.39,133.13
00530,Anesthesia for insertion of permanent heart pacemaker,N,O,69,163,162,163,1032.78,155.48,120.51,121.51
00532,Anesthesia for central vein access,N,F,40494,128894,127766,128835,999.48,129.17,100.15,100.99
00532,Anesthesia for central vein access,N,O,546,3613,3406,3612,912.58,139.51,107.98,104.68
00534,Anesthesia for insertion or replace of pacing heart defibrillator,N,F,17875,50196,50037,50178,1789.05,226.17,175.03,174.66
00534,Anesthesia for insertion or replace of pacing heart defibrillator,N,O,75,172,172,172,1419.46,210.07,157.34,161.52
00537,Anesthesia for procedure on heart to correct abnormal rhythm,N,F,24127,109662,108935,109537,2677.17,315.32,244.78,244.31
00537,Anesthesia for procedure on heart to correct abnormal rhythm,N,O,93,138,138,138,2268.16,269.58,205.97,209.96
00539,Anesthesia for reconstruction of windpipe and lung airway,N,F,206,227,225,226,4274.25,647.08,505.06,499.78
00540,Anesthesia for procedure in chest,N,F,7585,11721,11614,11715,2814.75,381.62,300.25,296.90
00541,Anesthesia for procedure in chest with 1 lung ventilation,N,F,16471,42742,42569,42709,3334.43,467.80,365.59,363.92
00541,Anesthesia for procedure in chest with 1 lung ventilation,N,O,28,34,34,34,4097.26,387.91,304.12,306.94
00542,Anesthesia for removal of lung lining,N,F,5165,6593,6575,6591,3359.82,443.15,345.58,346.94
00546,Anesthesia for lung removal and chest wall repair,N,F,62,72,72,72,3451.31,529.00,413.61,411.29
00548,Anesthesia for procedure on windpipe and lung airway,N,F,219,262,257,262,2812.07,468.53,368.33,368.82
0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",N,F,11,189,183,189,345.17,143.18,111.64,112.56
00550,Anesthesia for removal of breast bone tissue,N,F,3881,5510,5301,5507,2188.53,309.65,240.57,242.11
0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,N,F,11,67,65,67,284.20,116.34,115.04,90.73
00560,Anesthesia for procedure on heart and great blood vessels,N,F,10875,59540,59190,59452,3191.96,461.44,360.56,358.72
00561,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, younger than 1 year of age",N,F,23,25,24,24,4549.66,698.63,495.29,578.23
00562,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",N,F,9223,53154,53027,53111,5021.34,767.12,598.02,599.36
00563,Anesthesia for procedure on heart and great blood vessels on heart-lung machine,N,F,2037,4795,4788,4794,6275.70,927.58,727.61,727.75
00566,Anesthesia for heart artery bypass grafting,N,F,2958,8812,8801,8804,5532.01,781.33,608.44,616.08
00567,Anesthesia for heart artery bypass grafting on heart-lung machine,N,F,10374,66318,66228,66274,4753.25,694.46,540.56,547.64
00580,Anesthesia for heart or heart-lung transplant,N,F,859,1813,1799,1810,6683.97,1050.24,818.23,812.16
00600,Anesthesia for procedure on upper spine and spinal cord,N,F,10889,18540,17962,18534,2353.84,307.98,237.58,241.21
00600,Anesthesia for procedure on upper spine and spinal cord,N,O,61,461,307,461,2012.72,249.32,188.98,190.19
00604,"Anesthesia for procedure on spine and spinal cord, patient in sitting position",N,F,245,296,295,296,3448.23,429.43,333.73,333.79
00604,"Anesthesia for procedure on spine and spinal cord, patient in sitting position",N,O,5,26,25,26,4968.08,316.71,238.93,247.34
00620,Anesthesia for procedure on middle spine and spinal cord,N,F,8710,13400,13273,13390,2304.74,301.42,233.75,236.42
00620,Anesthesia for procedure on middle spine and spinal cord,N,O,65,131,114,131,1581.15,280.98,218.33,217.05
00625,Anesthesia for procedure on middle spine and spinal cord,N,F,455,497,496,496,3595.01,494.58,383.40,388.40
00626,Anesthesia for procedure on middle spine and spinal cord with 1 lung ventilation,N,F,167,173,173,173,4353.03,567.17,446.05,444.09
00630,Anesthesia for procedure on lower spine,N,F,38612,132556,129612,132521,1990.24,259.25,200.51,203.09
00630,Anesthesia for procedure on lower spine,N,O,367,2732,1859,2732,1732.26,214.71,164.12,162.89
00632,Anesthesia for removal of nerves in lower spine,N,F,52,99,99,99,1124.72,259.28,195.78,205.41
00635,Anesthesia for spinal tap,N,F,2429,3006,2835,3006,1060.12,135.76,104.64,104.79
00635,Anesthesia for spinal tap,N,O,7,46,28,46,480.50,117.66,92.24,91.19
00640,Anesthesia for closed manipulation of spine,N,F,1008,1271,1270,1271,980.73,119.79,96.48,91.62
00640,Anesthesia for closed manipulation of spine,N,O,16,52,51,52,702.61,119.69,90.66,88.13
00670,Anesthesia for procedure on spine and spinal cord,N,F,44931,253756,251966,253540,3299.43,432.34,336.16,338.05
00670,Anesthesia for procedure on spine and spinal cord,N,O,195,379,377,379,4676.38,436.58,336.23,341.19
00700,Anesthesia for procedure on upper front abdominal wall,N,F,15563,23091,22808,23083,1181.30,143.79,111.94,110.80
00700,Anesthesia for procedure on upper front abdominal wall,N,O,76,129,123,129,896.64,120.88,93.71,90.88
00702,Anesthesia for liver biopsy (accessed through the skin),N,F,1338,1774,1771,1772,1043.59,128.10,100.48,97.60
00702,Anesthesia for liver biopsy (accessed through the skin),N,O,34,195,193,195,817.02,114.85,89.54,86.72
00730,Anesthesia for procedure on upper rear abdominal wall,N,F,784,975,954,974,1075.91,144.82,116.51,111.20
00730,Anesthesia for procedure on upper rear abdominal wall,N,O,25,78,65,78,903.21,112.90,88.16,82.35
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,F,72019,1841797,1802361,1840862,882.34,115.62,89.07,89.45
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,O,3271,53076,51688,53066,1154.58,136.11,104.19,100.00
00750,Anesthesia for procedure to repair upper abdominal hernia,N,F,16967,23456,23441,23451,1104.91,145.96,111.60,112.83
00750,Anesthesia for procedure to repair upper abdominal hernia,N,O,178,229,229,229,824.98,114.19,86.51,85.75
00752,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,N,F,27131,46815,46737,46808,1651.99,225.37,173.67,175.22
00752,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,N,O,138,163,163,163,1201.12,170.98,131.74,130.36
00754,Anesthesia for procedure to repair upper abdominal hernia present at birth,N,F,41,44,44,44,1339.60,231.24,168.86,170.13
00756,Anesthesia for procedure to repair abdominal hernia,N,F,335,383,383,383,1985.11,321.54,250.38,249.48
0075T,"Insertion of stents into vertebral artery via catheter, open or accessed through the skin including radiologic supervision and interpretation",N,F,74,102,98,102,3801.18,587.40,460.02,457.22
00770,Anesthesia for procedure on major abdominal blood vessels,N,F,6307,8195,8162,8181,3679.00,523.10,408.69,410.32
00770,Anesthesia for procedure on major abdominal blood vessels,N,O,24,576,536,576,4160.80,500.32,392.12,397.35
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,N,F,66562,467769,465151,467584,1890.83,252.46,195.79,196.87
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,N,O,638,1096,1094,1096,1594.55,192.46,147.70,147.96
00792,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope,N,F,3631,5068,5054,5060,3594.25,508.89,398.95,394.20
00794,Anesthesia for removal of pancreas including use of an endoscope,N,F,5673,8434,8420,8427,3728.72,502.92,394.02,388.67
00796,Anesthesia for liver transplant recipient including use of an endoscope,N,F,829,1999,1988,1996,7217.55,1190.05,930.07,923.94
00797,Anesthesia for procedure on stomach for obesity including use of an endoscope,N,F,14358,30189,30145,30183,2432.57,308.77,238.72,240.75
00797,Anesthesia for procedure on stomach for obesity including use of an endoscope,N,O,30,31,31,31,3389.70,309.21,233.17,233.97
00800,Anesthesia for procedure on lower front abdominal wall,N,F,19442,27503,27222,27492,1051.45,132.38,102.50,102.93
00800,Anesthesia for procedure on lower front abdominal wall,N,O,149,225,201,225,803.62,114.43,87.51,85.52
00802,Anesthesia for removal of excess tissue on lower abdominal wall,N,F,2737,3028,3026,3028,1992.20,257.06,197.75,199.01
00802,Anesthesia for removal of excess tissue on lower abdominal wall,N,O,32,36,36,36,1407.53,219.05,166.08,173.89
00810,Anesthesia for procedure on lower intestine using an endoscope,N,F,67635,2384641,2372415,2384225,906.30,123.10,98.09,98.51
00810,Anesthesia for procedure on lower intestine using an endoscope,N,O,3707,109763,108918,109744,1158.08,145.37,114.52,110.37
00820,Anesthesia for procedure on lower rear abdominal wall,N,F,1388,1775,1746,1775,1178.29,153.39,119.77,118.46
00820,Anesthesia for procedure on lower rear abdominal wall,N,O,42,171,169,171,863.09,110.83,86.02,80.25
00830,Anesthesia for lower abdominal hernia repair,N,F,43122,110537,110344,110512,1203.57,160.83,123.32,123.87
00830,Anesthesia for lower abdominal hernia repair,N,O,623,1109,1109,1109,985.51,129.44,97.76,97.90
00832,Anesthesia for middle or incisional abdominal hernia repair,N,F,15999,24982,24946,24978,1729.54,219.37,168.95,170.27
00832,Anesthesia for middle or incisional abdominal hernia repair,N,O,64,79,79,79,1026.83,149.94,115.48,115.27
00836,"Anesthesia for lower abdominal hernia repair, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery",N,F,12,12,12,12,1447.72,215.95,169.30,170.96
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,N,F,61219,277650,276334,277518,1829.52,238.02,183.88,185.00
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,N,O,650,1247,1247,1247,1477.15,190.35,153.18,142.57
00842,Anesthesia for removal of amniotic fluid in uterus including use of an endoscope,N,F,12,12,12,12,1382.01,180.12,132.72,144.33
00844,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope,N,F,3443,3939,3934,3939,2957.05,397.87,310.46,309.92
00846,Anesthesia for removal of uterus including use of an endoscope,N,F,6617,9586,9584,9585,2646.76,337.56,263.55,261.40
00846,Anesthesia for removal of uterus including use of an endoscope,N,O,12,14,14,14,2248.21,300.81,239.23,218.39
00848,Anesthesia for removal of pelvic organs including use of an endoscope,N,F,565,620,620,620,3564.16,523.94,414.71,404.79
00851,Anesthesia for tying or incision of fallopian tubes using an endoscope,N,F,1058,1125,1125,1125,1185.86,163.78,122.67,126.38
00851,Anesthesia for tying or incision of fallopian tubes using an endoscope,N,O,12,12,12,12,988.42,158.63,124.08,123.72
00860,Anesthesia for procedure in lower abdomen including urinary tract,N,F,30377,59445,59039,59413,1663.62,218.80,169.32,169.74
00860,Anesthesia for procedure in lower abdomen including urinary tract,N,O,343,652,631,652,1448.73,176.25,139.35,133.95
00862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,N,F,27387,54379,54117,54331,2298.57,301.46,235.82,235.89
00862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,N,O,121,193,179,193,1671.46,218.48,183.39,161.69
00864,Anesthesia for removal of urinary bladder,N,F,4229,5750,5737,5738,3648.53,497.13,389.51,385.10
00865,Anesthesia for removal of prostate,N,F,16180,29522,29493,29497,2512.42,342.47,264.82,266.40
00865,Anesthesia for removal of prostate,N,O,84,358,358,358,2124.86,342.81,325.96,242.26
00866,Anesthesia for removal of adrenal gland,N,F,1949,2125,2123,2124,2754.72,375.23,291.36,291.99
00868,Anesthesia for kidney transplant,N,F,6677,14494,14468,14477,3315.65,432.35,335.29,335.33
00870,Anesthesia for removal of urinary bladder stone,N,F,805,906,901,906,1312.52,182.39,139.89,140.79
00872,Anesthesia for shock wave therapy for urinary system stones,N,F,796,1955,1900,1955,1393.38,195.60,150.72,151.35
00873,Anesthesia for shock wave therapy for urinary system stones,N,F,23047,72162,70413,72146,1103.04,147.10,113.59,114.81
00873,Anesthesia for shock wave therapy for urinary system stones,N,O,383,1133,1106,1133,917.33,135.91,104.62,106.91
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,N,F,5817,7430,7403,7424,3702.30,502.38,391.28,394.50
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,N,O,16,43,43,43,2903.58,456.02,357.52,350.82
00882,Anesthesia for tying of major vein in lower abdomen,N,F,54,60,59,59,1887.35,274.18,213.70,216.90
00902,Anesthesia for procedure on anus and rectum,N,F,40247,100215,99462,100186,1064.48,137.85,105.97,106.80
00902,Anesthesia for procedure on anus and rectum,N,O,957,4225,4132,4225,987.77,136.94,104.78,103.94
00904,Anesthesia for procedure on perineum,N,F,4539,5204,5147,5204,1875.03,247.76,193.39,192.52
00904,Anesthesia for procedure on perineum,N,O,40,45,45,45,1409.14,183.46,153.27,137.00
00906,Anesthesia for removal of external female genitalia,N,F,3376,3852,3847,3852,1085.66,140.05,108.01,108.31
00906,Anesthesia for removal of external female genitalia,N,O,77,86,86,86,975.27,115.04,93.05,85.32
00908,Anesthesia for removal of prostate,N,F,279,303,303,303,2204.43,263.24,203.39,203.77
00910,Anesthesia for procedure on urinary system including use of an endoscope,N,F,59297,370446,361911,370356,783.43,98.75,76.08,76.52
00910,Anesthesia for procedure on urinary system including use of an endoscope,N,O,1231,10098,9508,10097,921.60,105.55,80.65,79.06
00912,Anesthesia for removal of urinary bladder tumors including use of an endoscope,N,F,41272,117705,115703,117689,1130.03,146.96,114.00,113.79
00912,Anesthesia for removal of urinary bladder tumors including use of an endoscope,N,O,495,1342,1298,1342,925.63,133.94,103.55,103.54
00914,Anesthesia for removal of prostate including use of an endoscope,N,F,37308,100506,100293,100470,1308.37,174.23,134.94,135.15
00914,Anesthesia for removal of prostate including use of an endoscope,N,O,474,1635,1632,1635,1534.78,181.14,138.72,135.97
00916,Anesthesia for procedure to control urinary system bleeding including use of an endoscope,N,F,1166,1293,1292,1293,1174.84,160.68,125.40,126.30
00916,Anesthesia for procedure to control urinary system bleeding including use of an endoscope,N,O,12,12,12,12,1410.34,162.41,127.33,126.89
00918,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope",N,F,41609,126287,124777,126269,1192.08,155.06,119.95,120.87
00918,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope",N,O,437,992,981,992,1097.40,142.88,109.93,110.62
00920,Anesthesia for procedure on male genitalia,N,F,24981,42330,42084,42309,1019.36,131.96,101.34,102.03
00920,Anesthesia for procedure on male genitalia,N,O,334,545,543,545,971.22,118.41,89.70,90.03
00921,Anesthesia for vasectomy,N,F,147,153,153,153,882.68,107.24,77.40,78.78
00922,Anesthesia for procedure on male genitalia glands,N,F,28,31,31,31,1479.93,197.41,149.10,150.45
00924,Anesthesia for repair of undescended testicle,N,F,59,59,59,59,1338.44,164.06,125.98,126.40
00926,Anesthesia for removal of testicle through groin,N,F,1320,1373,1373,1373,1154.39,150.90,117.09,117.79
00926,Anesthesia for removal of testicle through groin,N,O,12,13,13,13,792.79,128.59,100.81,100.84
00928,Anesthesia for removal of testicle through abdomen,N,F,62,63,63,63,1241.09,207.86,162.66,163.76
00930,Anesthesia for relocation of undescended testicle into scrotum,N,F,340,342,342,342,1248.86,154.41,117.30,118.46
00932,Anesthesia for removal of penis,N,F,160,165,162,162,1740.66,246.15,193.44,193.23
00934,Anesthesia for removal of penis and lymph nodes on both sides of groin,N,F,42,43,43,43,2436.25,312.79,244.94,248.00
00938,Anesthesia for insertion of penile prosthesis,N,F,4735,6652,6631,6651,1588.27,199.54,154.04,154.08
00938,Anesthesia for insertion of penile prosthesis,N,O,57,87,85,87,1035.40,164.27,118.45,126.24
00940,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia",N,F,20826,30917,30549,30904,845.75,107.96,82.61,83.05
00940,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia",N,O,397,656,648,656,816.76,107.06,82.30,79.05
00942,Anesthesia for repair or removal of vagina and urinary procedure,N,F,14190,20170,20144,20161,1332.79,175.25,135.00,136.22
00942,Anesthesia for repair or removal of vagina and urinary procedure,N,O,92,135,135,135,1056.72,132.10,102.77,101.29
00944,Anesthesia for vaginal removal of uterus,N,F,12525,17497,17496,17496,1919.98,259.75,200.73,202.15
00944,Anesthesia for vaginal removal of uterus,N,O,39,45,45,45,1922.84,212.51,164.10,164.20
00948,Anesthesia for suture closure of cervix,N,F,215,218,217,218,922.15,125.71,97.32,97.62
00950,Anesthesia for examination of cervix using an endoscope,N,F,19,20,20,20,1078.20,186.28,139.12,139.42
00952,Anesthesia for examination of uterus using an endoscope,N,F,31394,63523,63425,63519,924.44,118.46,91.03,91.11
00952,Anesthesia for examination of uterus using an endoscope,N,O,714,1522,1514,1522,991.94,115.47,89.35,87.41
0100T,Insertion of retinal prosthesis receiver pulse generator and retinal electrode array,N,F,11,17,17,17,14090.00,1768.58,1386.57,1374.26
01112,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone,N,F,6465,17559,17325,17558,894.85,116.01,89.12,90.33
01112,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone,N,O,112,453,441,453,1219.34,148.87,115.75,115.08
01120,Anesthesia for procedure on pelvic bone,N,F,5098,6076,6025,6074,1634.49,208.91,162.02,163.14
01120,Anesthesia for procedure on pelvic bone,N,O,19,32,30,32,1169.44,203.09,156.68,161.26
01130,Anesthesia for application or revision of body cast,N,F,25,25,25,25,1229.39,155.29,121.39,120.61
01140,Anesthesia for amputation of leg including pelvic bone,N,F,44,44,44,44,3340.02,529.41,408.96,418.88
01150,Anesthesia for removal of pelvic bone tumor,N,F,389,411,410,411,2911.32,402.26,324.70,306.89
01160,Anesthesia for procedure on pubic bone or sacroiliac joint,N,F,2506,6961,6487,6957,1296.68,122.83,94.26,95.47
01160,Anesthesia for procedure on pubic bone or sacroiliac joint,N,O,141,1518,1244,1518,1059.84,101.11,78.08,79.46
01170,Anesthesia for open procedure on pubic bone or sacroiliac joint,N,F,2369,3014,2992,3013,1907.60,244.80,189.14,190.88
01173,Anesthesia for open repair of pelvic fracture,N,F,1808,2090,2088,2090,3168.41,395.76,308.89,310.02
01200,Anesthesia for closed procedure on hip joint,N,F,12519,19944,19368,19922,809.00,102.25,78.43,78.97
01200,Anesthesia for closed procedure on hip joint,N,O,333,1362,1209,1362,691.24,101.03,77.09,78.53
