description,y_pred,y_conf,y_true
"X-ray of wrist, minimum of 3 views",Very-Low,0.9982949,Very-Low
Imaging for evaluation of swallowing function,Low,0.66484445,Very-Low
Telehealth originating site facility fee,Very-Low,0.9465094,Very-Low
Ambulatory blood pressure monitoring 24 hours or longer with interpretation and report,Very-Low,0.9980835,Very-Low
Screening test for antibody to noninfectious agent,Very-Low,0.9923131,Very-Low
Ultrasound scanning of blood flow (outside of brain) on one side of head and neck or limited,Very-Low,0.6676927,Very-Low
Levetiracetam level,Very-Low,0.9491988,Very-Low
"Ultrasound scan of blood flow of aorta, vena cava, bypass graphs, or one side of the groin or limited scan",Low,0.9967438,Very-Low
"X-ray of fingers, minimum of 2 views",Very-Low,0.9959617,Very-Low
"Screening cytopathology smears, cervical or vaginal, performed by automated system with manual rescreening",Very-Low,0.9926726,Very-Low
Evaluation of specimen enzymes,Low,0.76555824,Very-Low
Immunologic analysis technique on body fluid,Very-Low,0.99620736,Very-Low
"Diabetes outpatient self-management training services, individual, per 30 minutes",Very-Low,0.9976388,Very-Low
Immunologic analysis technique on body fluid,Very-Low,0.99620736,Very-Low
Hepatitis B surface antibody measurement,Very-Low,0.99677795,Very-Low
X-ray lower and sacral spine including bending views minimum 6 views,Very-Low,0.99988735,Very-Low
Measurement C-reactive protein for detection of infection or inflammation,Very-Low,0.9922172,Very-Low
Quantitation of therapeutic drug,Very-Low,0.67862874,Very-Low
Trimming of fingernails or toenails,Moderate-High,0.3235409,Very-Low
Bone marrow aspiration performed with bone marrow biopsy through the same incision on the same date of service,Very-Low,0.92336076,Very-Low
Radiological supervision and interpretation of imaging of artery,Low,0.89036185,Very-Low
Examination of eye by ophthalmoscope with retinal drawing,Very-Low,0.88438904,Very-Low
Collection and analysis of exhaled air for evaluation of lung function during rest and exercise,Very-Low,0.86690557,Very-Low
X-ray of soft tissue of neck,Very-Low,0.92009944,Very-Low
"Smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",Very-Low,0.99224794,Very-Low
"X-ray of spine, 1 view",Very-Low,0.99951386,Very-Low
X-ray of shoulder blade,Very-Low,0.92921567,Very-Low
Removal of inflamed or infected skin,Moderate-High,0.3397993,Very-Low
Mammography of one breast,Low,0.92272335,Very-Low
"Smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",Very-Low,0.99224794,Very-Low
"X-ray of skull, complete, minimum of 4 views",Very-Low,0.9990451,Very-Low
"X-ray of both sides of the ribs including the chest, minimum of 4 views",Very-Low,0.5611403,Very-Low
"Remote evaluations of defibrillator transmissions, technician review, support and distribution of results up to 90 days",Very-Low,0.9747347,Very-Low
Red blood cell antibody detection test,Very-Low,0.543456,Very-Low
X-ray of collar bone,Very-Low,0.93282396,Very-Low
"X-ray of bones of nose, minimum of 3 views",Very-Low,0.9852304,Very-Low
X-ray of salivary gland,Very-Low,0.95846385,Very-Low
Calcium level,Very-Low,0.9989135,Very-Low
"X-ray of chest, special views",Very-Low,0.99721503,Very-Low
Stool analysis for blood,Very-Low,0.9901023,Very-Low
Cardiac output measurements,Low,0.73918605,Very-Low
"New patient office or other outpatient visit, typically 10 minutes",Very-Low,0.7200717,Very-Low
"Self-care or home management training, each 15 minutes",Very-Low,0.9805422,Very-Low
"X-ray of elbow, minimum of 3 views",Very-Low,0.98269665,Very-Low
"X-ray of both hips with pelvis, 2 views",Very-Low,0.99935216,Very-Low
X-ray of bones,Very-Low,0.899988,Very-Low
Ultrasound study of arteries and arterial grafts of one arm or limited,Low,0.51402956,Very-Low
Health and behavior re-assessment each 15 minutes,Very-Low,0.9992818,Very-Low
"High osmolar contrast material, 300-349 mg/ml iodine concentration, per ml",Moderate-Low,0.9419001,Very-Low
CT scan bone mineral density study 1 or more sites,Low,0.9946241,Very-Low
Platelet function test,Low,0.9705676,Very-Low
"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth",Low,0.6993007,Very-Low
Complex chronic care management services each additional 30 minutes clinical staff time,Low,0.5429233,Very-Low
Ultrasound study of arteries and arterial grafts of one arm or limited,Low,0.51402956,Very-Low
"X-ray of teeth, single view",Very-Low,0.9996803,Very-Low
Observation and recording from multiple positions of abnormal eye movements,Very-Low,0.86120963,Very-Low
Removal of inflamed or infected skin,Moderate-High,0.3397993,Very-Low
X-ray of both collar bones,Very-Low,0.9273978,Very-Low
"Radiological supervision and interpretation X-ray of urinary bladder, minimum of 3 views",Very-Low,0.98326415,Very-Low
Phenytoin level,Very-Low,0.9491988,Very-Low
Interrogation device evaluation (in person) of leadless heart pacemaker system,Low,0.6241628,Very-Low
"Training in use of orthotics (supports, braces, or splints) for arms, legs and/or trunk each 15 minutes",Low,0.7761784,Very-Low
"Allergy testing with venoms into or within skin, immediate type reaction, including test interpretation and report",Very-Low,0.9997402,Very-Low
"Subsequent nursing facility visit, typically 10 minutes per day",Very-Low,0.72397494,Very-Low
Removal of impacted cerumen (one or both ears) by physician on same date of service as audiologic function testing,Very-Low,0.88665324,Very-Low
Thyroglobulin (thyroid protein) antibody measurement,Very-Low,0.9998349,Very-Low
Hearing test using earphones,Very-Low,0.681466,Very-Low
Cell examination of body fluid,Very-Low,0.7621698,Very-Low
Chronic care management services at least 20 minutes per calendar month,Low,0.8773357,Very-Low
Imaging of abdomen,Very-Low,0.87114716,Very-Low
X-ray of voice box or throat,Low,0.49571645,Very-Low
"Walking training to 1 or more areas, each 15 minutes",Very-Low,0.990999,Very-Low
Thyroid hormone evaluation,Very-Low,0.57397765,Very-Low
"X-ray of mandible, minimum of 4 views",Very-Low,0.99762374,Very-Low
"Pessary, non rubber, any type",Very-Low,0.9304746,Very-Low
Observation and recording of abnormal eye movement,Low,0.8196505,Very-Low
"Brachytherapy source, stranded, iodine-125, per source",Very-Low,0.9972882,Very-Low
"Detection test for Influenza virus, A or B",Very-Low,0.9840986,Very-Low
Radiological supervision and interpretation of removal of obstructive material from large vein catheter procedure,Low,0.8922776,Very-Low
"X-ray of bones of face, less than 3 views",Very-Low,0.9997044,Very-Low
"Radioelements for brachytherapy, any type, each",Very-Low,0.9427699,Very-Low
Observation and recording of abnormal eye movement,Low,0.8196505,Very-Low
"Fluoroscopic guidance for insertion, replacement or removal of central venous access device",Very-Low,0.77743626,Very-Low
Non-imaging determination of cardiovascular function,Very-Low,0.98474485,Very-Low
"X-ray of hand, 2 views",Very-Low,0.99431133,Very-Low
Hemoglobin analysis and measurement,Very-Low,0.99892515,Very-Low
"X-ray of breast bone, minimum of 2 views",Very-Low,0.9949805,Very-Low
"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",Very-Low,0.80934644,Very-Low
"X-ray of both knees, standing, front to back view",Very-Low,0.9795648,Very-Low
"X-ray of heel, minimum of 2 views",Very-Low,0.8867267,Very-Low
Assessment of speech hearing loss,Very-Low,0.9026352,Very-Low
"Protein measurement, serum",Very-Low,0.99960333,Very-Low
"Injection, non-radioactive, non-contrast, visualization adjunct (e.g., methylene blue, isosulfan blue), 1 mg",Very-Low,0.9997421,Very-Low
Immunologic analysis for detection of tumor antigen,Very-Low,0.9889264,Very-Low
CT scan bone mineral density study 1 or more sites,Low,0.9946241,Very-Low
Erythropoietin (protein) level,Very-Low,0.9986866,Very-Low
Measurement and graphic recording of total and timed exhaled air capacity,Very-Low,0.999933,Very-Low
"Hemoglobin measurement, per day",Very-Low,0.9970963,Very-Low
Gabapentin level,Very-Low,0.9491988,Very-Low
"X-ray of junction of breast and collar bones, minimum of 2 views",Very-Low,0.98529136,Very-Low
Removal of single thickened skin growth,Very-Low,0.7603315,Very-Low
"Smoking and tobacco use intensive counseling, greater than 10 minutes",Very-Low,0.9997514,Very-Low
"Ventilation assistance and management, nursing facility per day",Low,0.9993981,Very-Low
"X-ray of sacroiliac joints, less than 3 views",Very-Low,0.998613,Very-Low
"Brachytherapy source, non-stranded, cesium-131, per source",Very-Low,0.5628483,Very-Low
Exercises to correct eyeball muscle imbalances,Very-Low,0.81772274,Very-Low
"X-ray of mastoid, less than 3 views per side",Very-Low,0.99973685,Very-Low
"Remote evaluations of implantable heart recorder system including transmissions, technician review, support, and distribution of results up to 30 days",Very-Low,0.9570779,Very-Low
Osteopathic manipulative treatment to 3-4 body regions,Very-Low,0.99327236,Very-Low
"X-ray of spine, 2 or 3 views",Very-Low,0.99976605,Very-Low
Screening examination of specimen cells,Very-Low,0.9649492,Very-Low
Smear for parasites,Very-Low,0.9909423,Very-Low
Administration of hepatitis b vaccine,Very-Low,0.981143,Very-Low
"Strep test (Streptococcus, group A)",Very-Low,0.9983392,Very-Low
Imaging of abdomen and chest,Very-Low,0.9169841,Very-Low
Nuclear medicine study of lung ventilation,Very-Low,0.84789973,Very-Low
"Evaluation of occupational therapy, typically 30 minutes",Low,0.76534754,Very-Low
Ultrasonic guidance for drainage of sac that covers the heart,Low,0.9814261,Very-Low
Thyroxine (thyroid chemical) measurement,Very-Low,0.99934584,Very-Low
"Iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta",Very-Low,0.9730497,Very-Low
"Dihydroxyvitamin D, 1, 25 level",Very-Low,0.9109328,Very-Low
"Exercise or drug-induced heart and blood vessel stress test with EKG monitoring, physician interpretation and report",Very-Low,0.610041,Very-Low
Detection test for clostridium difficile,Low,0.67376786,Very-Low
Ultrasound guidance for accessing into blood vessel,Low,0.61998206,Very-Low
Recording of gastrointestinal electrical activity of stomach,Very-Low,0.86223817,Very-Low
Collection and analysis of exhaled air and carbon dioxide for evaluation of lung function,Very-Low,0.9990362,Very-Low
"Evaluation, recording, and interpretation of swallowing using an endoscope",Low,0.7434349,Very-Low
"X-ray of chest, 2 views, front and side",Very-Low,0.9993868,Very-Low
Phenytoin level,Very-Low,0.9491988,Very-Low
Diagnostic examination of ear and nose,Very-Low,0.7121097,Very-Low
"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Very-Low,0.9997677,Very-Low
"Radiological supervision and interpretation X-ray of kidney cyst, lower back contrast injection",Low,0.98825085,Very-Low
Measurement of field of vision during daylight conditions,Very-Low,0.999042,Very-Low
Detection test for clostridium difficile,Low,0.67376786,Very-Low
"Hemoglobin measurement, per day",Very-Low,0.9970963,Very-Low
"X-ray of bones of face, less than 3 views",Very-Low,0.9997044,Very-Low
Gentamicin (antibiotic) level,Very-Low,0.99810743,Very-Low
Irrigation of vagina and/or application of drug to treat infection,Moderate-High,0.37995133,Very-Low
Examination of eye by ophthalmoscope with retinal drawing,Very-Low,0.88438904,Very-Low
Imaging for abscess or abnormal drainage tract procedure,Low,0.5952255,Very-Low
Single measurement of remaining air or lung capacity after exhalation,Very-Low,0.9522635,Very-Low
Detection test for human papillomavirus (hpv),Low,0.98610395,Very-Low
"X-ray of abdomen, single view",Very-Low,0.999801,Very-Low
"Cast supplies, short leg cast, adult (11 years +), fiberglass",Low,0.9951715,Very-Low
X-ray survey of forearm or wrist bone density,Very-Low,0.9514516,Very-Low
"X-ray of hand, minimum of 3 views",Very-Low,0.9795522,Very-Low
"Health and behavior intervention, individual each 15 minutes",Very-Low,0.99963474,Very-Low
Screening examination of specimen cells,Very-Low,0.9649492,Very-Low
Measurement of field of vision during daylight conditions,Very-Low,0.999042,Very-Low
Oral introduction of long drainage tube into small bowel,Very-Low,0.98380613,Very-Low
"Imaging of brain, less than 4 static views",Very-Low,0.9277099,Very-Low
"X-ray of spine of neck, 2 or 3 views",Very-Low,0.9996623,Very-Low
"X-ray of spine, 1 view",Very-Low,0.99951386,Very-Low
Analysis of pressure of upper limb artery with interpretation and report,Low,0.7082191,Very-Low
Imaging of abdomen,Very-Low,0.87114716,Very-Low
Detection test for clostridium difficile toxins (stool pathogen),Very-Low,0.87528354,Very-Low
"Medical nutrition therapy, assessment and intervention, each 15 minutes",Very-Low,0.9893484,Very-Low
Ultrasound of arm or leg,Low,0.5212817,Very-Low
Hemoglobin A1C level,Very-Low,0.9966287,Very-Low
Imaging of urinary tract with injection of contrast into a vein,Low,0.56551296,Very-Low
PSA (prostate specific antigen) measurement,Very-Low,0.9973515,Very-Low
Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,Very-Low,0.99877006,Very-Low
Gammaglobulin (immune system protein) measurement,Very-Low,0.9986218,Very-Low
Ultrasonic guidance imaging supervision and interpretation for amniocentesis,Very-Low,0.542478,Very-Low
"Coagulation or fibrinolysis (clot dissolving) function measurement with interpretation and written report, per day",Very-Low,0.99790716,Very-Low
"Injection beneath the skin or into muscle for therapy, diagnosis, or prevention",Low,0.57102835,Very-Low
Gammaglobulin (immune system protein) measurement,Very-Low,0.9986218,Very-Low
"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list separately in addition to g0204 or g0206)",Very-Low,0.99176323,Very-Low
Fracture assessment of spine bones using dedicated X-ray machine for bone density measurement,Very-Low,0.99919254,Very-Low
Imaging of brain and spinal cord fluid flow in brain compartments (ventricles),Low,0.9978452,Very-Low
Rheumatoid factor level,Very-Low,0.99842644,Very-Low
Screening examination of specimen cells,Very-Low,0.9649492,Very-Low
"Medical nutrition therapy re-assessment and intervention, each 15 minutes",Very-Low,0.9966678,Very-Low
Hearing test using earphones,Very-Low,0.681466,Very-Low
Blood osmolality (concentration) measurement,Very-Low,0.9499721,Very-Low
Organic acid level,Very-Low,0.99808866,Very-Low
Thyroglobulin (thyroid related hormone) level,Very-Low,0.9985104,Very-Low
"Chiropractic manipulative treatment, 3 to 4 spinal regions",Very-Low,0.9961514,Very-Low
Diagnostic imaging of retina,Very-Low,0.91753924,Very-Low
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Very-Low,0.99782336,Very-Low
"Evaluation of implantable heart recorder system including physician analysis, review, and report",Very-Low,0.7924289,Very-Low
Immunologic analysis for detection of organism,Very-Low,0.80310935,Very-Low
Imaging of small intestine,Very-Low,0.721045,Very-Low
Phosphatase (enzyme) measurement,Very-Low,0.8888737,Very-Low
Imaging of jaws and skull for orthodontic purposes,Low,0.98152727,Very-Low
DNA testing for genetic defects,Low,0.81208545,Very-Low
"Subsequent hospital inpatient care, typically 15 minutes per day",Very-Low,0.92295074,Very-Low
Routine EKG using at least 12 leads including interpretation and report,Very-Low,0.99726874,Very-Low
Electrical stimulation for guidance with injection of chemical for destruction of muscles,Very-Low,0.72334915,Very-Low
"Follow-up or limited heart doppler ultrasound study of heart blood flow, valves, and chambers",Very-Low,0.57108426,Very-Low
"X-ray of mastoid, minimum of 3 views per side",Very-Low,0.99931085,Very-Low
Special stain for parasites,Very-Low,0.9994155,Very-Low
"Gonadotropin, luteinizing (reproductive hormone) level",Very-Low,0.998044,Very-Low
Determination of lung volumes using plethysmography,Very-Low,0.9773262,Very-Low
Radiological supervision and interpretation X-ray of tear drainage structure of eye,Very-Low,0.77611715,Very-Low
"Catheterization for collection of specimen, single patient, all places of service",Very-Low,0.97305363,Very-Low
Cell examination of specimen,Low,0.8409462,Very-Low
"Imaging of 2 or more joints, single view",Very-Low,0.9993573,Very-Low
"High osmolar contrast material, 300-349 mg/ml iodine concentration, per ml",Moderate-Low,0.9419001,Very-Low
Measurement and graphic recording of total and timed exhaled air capacity,Very-Low,0.999933,Very-Low
Assessment of eardrum and muscle function,Very-Low,0.95099837,Very-Low
"X-ray of upper arm, minimum of 2 views",Very-Low,0.9601176,Very-Low
Radiological supervision and interpretation X-ray of elbow,Low,0.68172514,Very-Low
X-ray of small intestine by small bowel tube,Low,0.6829592,Very-Low
Carcinoembryonic antigen (CEA) protein level,Very-Low,0.99967825,Very-Low
Injection of chemical for destruction of sweat glands,Low,0.9630727,Low
Incision and drainage of roof of mouth or its soft tissue projection,Moderate-Low,0.96329623,Low
"Skin graft at trunk, arms, or legs",Low,0.75424373,Low
Psychological testing with interpretation and report by psychologist or physician per hour,Low,0.99936944,Low
Assessment of muscle signal of pelvic nerves,Low,0.62639624,Low
Mechanical separation of platelet cells from blood,Low,0.9850064,Low
Radiological supervision and interpretation of imaging of artery of breast,Low,0.9338778,Low
Fine needle aspiration using imaging guidance,Low,0.97942734,Low
Suture of internal abdominal lining using an endoscope,Moderate-High,0.48756674,Low
"Incision of abscess, cyst, or blood accumulation in mouth",Moderate-Low,0.46100524,Low
Nuclear medicine study limited area,Very-Low,0.816529,Low
MRI scan of upper spinal canal with contrast,Low,0.9290598,Low
Tying or incision of fallopian tubes at time of cesarean delivery or other abdominal surgery,Moderate-Low,0.8331463,Low
"Evaluation of defibrillator including connection, recording and disconnection",Low,0.69009995,Low
Blood bank physician services for cross match and/or evaluation and written report,Low,0.9668883,Low
Radiological supervision and interpretation of drawing blood via catheter procedure,Low,0.8041537,Low
"Radiological supervision and interpretation of imaging of liver vein with assessment of blood flow, injection of contrast (accessed through the skin)",Low,0.98473585,Low
CT scan of face before and after contrast,Low,0.99884605,Low
Family psychotherapy,Low,0.8246214,Low
Removal of central venous catheter for infusion,Low,0.7737787,Low
"Observation, testing, and recording of abnormal eye movement",Low,0.95209867,Low
"Strapping, Unna boot",Low,0.9817184,Low
X-ray of upper digestive tract,Low,0.45962825,Low
