description,y_pred,y_conf,y_true
Bone marrow aspiration performed with bone marrow biopsy through the same incision on the same date of service,Very-Low,0.95988613,Very-Low
Radiological supervision and interpretation of imaging of artery,Low,0.80793834,Very-Low
Examination of eye by ophthalmoscope with retinal drawing,Very-Low,0.91465604,Very-Low
Collection and analysis of exhaled air for evaluation of lung function during rest and exercise,Very-Low,0.78725773,Very-Low
X-ray of soft tissue of neck,Very-Low,0.8477809,Very-Low
"Smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",Very-Low,0.9986197,Very-Low
"X-ray of spine, 1 view",Very-Low,0.9996481,Very-Low
X-ray of shoulder blade,Very-Low,0.97826755,Very-Low
Removal of inflamed or infected skin,Moderate-High,0.3584625,Very-Low
Mammography of one breast,Low,0.7175242,Very-Low
"Smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",Very-Low,0.9986197,Very-Low
"X-ray of skull, complete, minimum of 4 views",Very-Low,0.9994491,Very-Low
"X-ray of both sides of the ribs including the chest, minimum of 4 views",Very-Low,0.99455833,Very-Low
"Remote evaluations of defibrillator transmissions, technician review, support and distribution of results up to 90 days",Very-Low,0.98977685,Very-Low
Red blood cell antibody detection test,Very-Low,0.5857577,Very-Low
X-ray of collar bone,Very-Low,0.98919463,Very-Low
"X-ray of bones of nose, minimum of 3 views",Very-Low,0.99837226,Very-Low
X-ray of salivary gland,Very-Low,0.98789215,Very-Low
Calcium level,Very-Low,0.99846065,Very-Low
"X-ray of chest, special views",Very-Low,0.9980896,Very-Low
Stool analysis for blood,Very-Low,0.9973017,Very-Low
Cardiac output measurements,Low,0.9547543,Very-Low
"New patient office or other outpatient visit, typically 10 minutes",Very-Low,0.87464434,Very-Low
"Self-care or home management training, each 15 minutes",Very-Low,0.99587065,Very-Low
"X-ray of elbow, minimum of 3 views",Very-Low,0.9956552,Very-Low
"X-ray of both hips with pelvis, 2 views",Very-Low,0.99980825,Very-Low
X-ray of bones,Very-Low,0.972844,Very-Low
Ultrasound study of arteries and arterial grafts of one arm or limited,Very-Low,0.9390437,Very-Low
Health and behavior re-assessment each 15 minutes,Very-Low,0.99963677,Very-Low
"High osmolar contrast material, 300-349 mg/ml iodine concentration, per ml",Moderate-Low,0.9351996,Very-Low
CT scan bone mineral density study 1 or more sites,Low,0.99953187,Very-Low
Platelet function test,Low,0.5529079,Very-Low
"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth",Low,0.9965989,Very-Low
Complex chronic care management services each additional 30 minutes clinical staff time,Low,0.6635505,Very-Low
Ultrasound study of arteries and arterial grafts of one arm or limited,Very-Low,0.9390437,Very-Low
"X-ray of teeth, single view",Very-Low,0.99963605,Very-Low
Observation and recording from multiple positions of abnormal eye movements,Very-Low,0.83383495,Very-Low
Removal of inflamed or infected skin,Moderate-High,0.3584625,Very-Low
X-ray of both collar bones,Very-Low,0.9910198,Very-Low
"Radiological supervision and interpretation X-ray of urinary bladder, minimum of 3 views",Very-Low,0.99260193,Very-Low
Phenytoin level,Very-Low,0.9514435,Very-Low
Interrogation device evaluation (in person) of leadless heart pacemaker system,Low,0.96193314,Very-Low
"Training in use of orthotics (supports, braces, or splints) for arms, legs and/or trunk each 15 minutes",Very-Low,0.8769752,Very-Low
"Allergy testing with venoms into or within skin, immediate type reaction, including test interpretation and report",Very-Low,0.99762684,Very-Low
"Subsequent nursing facility visit, typically 10 minutes per day",Very-Low,0.6156235,Very-Low
Removal of impacted cerumen (one or both ears) by physician on same date of service as audiologic function testing,Very-Low,0.65287495,Very-Low
Thyroglobulin (thyroid protein) antibody measurement,Very-Low,0.9996045,Very-Low
Hearing test using earphones,Very-Low,0.9407353,Very-Low
Cell examination of body fluid,Very-Low,0.6798621,Very-Low
Chronic care management services at least 20 minutes per calendar month,Low,0.93098587,Very-Low
Imaging of abdomen,Very-Low,0.85968083,Very-Low
X-ray of voice box or throat,Very-Low,0.78596497,Very-Low
"Walking training to 1 or more areas, each 15 minutes",Very-Low,0.9523542,Very-Low
Thyroid hormone evaluation,Very-Low,0.7975572,Very-Low
"X-ray of mandible, minimum of 4 views",Very-Low,0.99856937,Very-Low
"Pessary, non rubber, any type",Very-Low,0.960453,Very-Low
Observation and recording of abnormal eye movement,Low,0.8496486,Very-Low
"Brachytherapy source, stranded, iodine-125, per source",Very-Low,0.9985436,Very-Low
"Detection test for Influenza virus, A or B",Very-Low,0.99873763,Very-Low
Radiological supervision and interpretation of removal of obstructive material from large vein catheter procedure,Low,0.88867533,Very-Low
"X-ray of bones of face, less than 3 views",Very-Low,0.99960905,Very-Low
"Radioelements for brachytherapy, any type, each",Very-Low,0.96096134,Very-Low
Observation and recording of abnormal eye movement,Low,0.8496486,Very-Low
"Fluoroscopic guidance for insertion, replacement or removal of central venous access device",Very-Low,0.9614975,Very-Low
Non-imaging determination of cardiovascular function,Very-Low,0.9980246,Very-Low
"X-ray of hand, 2 views",Very-Low,0.9992811,Very-Low
Hemoglobin analysis and measurement,Very-Low,0.9989613,Very-Low
"X-ray of breast bone, minimum of 2 views",Very-Low,0.99825174,Very-Low
"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",Low,0.6370982,Very-Low
"X-ray of both knees, standing, front to back view",Very-Low,0.99625516,Very-Low
"X-ray of heel, minimum of 2 views",Very-Low,0.9528881,Very-Low
Assessment of speech hearing loss,Very-Low,0.9833866,Very-Low
"Protein measurement, serum",Very-Low,0.9991966,Very-Low
"Injection, non-radioactive, non-contrast, visualization adjunct (e.g., methylene blue, isosulfan blue), 1 mg",Very-Low,0.9982475,Very-Low
Immunologic analysis for detection of tumor antigen,Very-Low,0.994808,Very-Low
CT scan bone mineral density study 1 or more sites,Low,0.99953187,Very-Low
Erythropoietin (protein) level,Very-Low,0.99518716,Very-Low
Measurement and graphic recording of total and timed exhaled air capacity,Very-Low,0.99993324,Very-Low
"Hemoglobin measurement, per day",Very-Low,0.99758816,Very-Low
Gabapentin level,Very-Low,0.9514435,Very-Low
"X-ray of junction of breast and collar bones, minimum of 2 views",Very-Low,0.9974667,Very-Low
Removal of single thickened skin growth,Very-Low,0.9501324,Very-Low
"Smoking and tobacco use intensive counseling, greater than 10 minutes",Very-Low,0.99954826,Very-Low
"Ventilation assistance and management, nursing facility per day",Low,0.9994404,Very-Low
"X-ray of sacroiliac joints, less than 3 views",Very-Low,0.9974523,Very-Low
"Brachytherapy source, non-stranded, cesium-131, per source",Very-Low,0.52623326,Very-Low
Exercises to correct eyeball muscle imbalances,Very-Low,0.826544,Very-Low
"X-ray of mastoid, less than 3 views per side",Very-Low,0.9990044,Very-Low
"Remote evaluations of implantable heart recorder system including transmissions, technician review, support, and distribution of results up to 30 days",Very-Low,0.98378813,Very-Low
Osteopathic manipulative treatment to 3-4 body regions,Very-Low,0.98142654,Very-Low
"X-ray of spine, 2 or 3 views",Very-Low,0.99983454,Very-Low
Screening examination of specimen cells,Very-Low,0.9090385,Very-Low
Smear for parasites,Very-Low,0.98452455,Very-Low
Administration of hepatitis b vaccine,Very-Low,0.99212426,Very-Low
"Strep test (Streptococcus, group A)",Very-Low,0.9977062,Very-Low
Imaging of abdomen and chest,Very-Low,0.93259615,Very-Low
Nuclear medicine study of lung ventilation,Very-Low,0.89743245,Very-Low
"Evaluation of occupational therapy, typically 30 minutes",Low,0.98338366,Very-Low
Ultrasonic guidance for drainage of sac that covers the heart,Low,0.77302873,Very-Low
Thyroxine (thyroid chemical) measurement,Very-Low,0.99942577,Very-Low
"Iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta",Very-Low,0.98448575,Very-Low
"Dihydroxyvitamin D, 1, 25 level",Very-Low,0.93272656,Very-Low
"Exercise or drug-induced heart and blood vessel stress test with EKG monitoring, physician interpretation and report",Very-Low,0.8615037,Very-Low
Detection test for clostridium difficile,Low,0.6791183,Very-Low
Ultrasound guidance for accessing into blood vessel,Very-Low,0.58373123,Very-Low
Recording of gastrointestinal electrical activity of stomach,Very-Low,0.93157434,Very-Low
Collection and analysis of exhaled air and carbon dioxide for evaluation of lung function,Very-Low,0.99821484,Very-Low
"Evaluation, recording, and interpretation of swallowing using an endoscope",Very-Low,0.5229566,Very-Low
"X-ray of chest, 2 views, front and side",Very-Low,0.9993777,Very-Low
Phenytoin level,Very-Low,0.9514435,Very-Low
Diagnostic examination of ear and nose,Very-Low,0.5880903,Very-Low
"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Very-Low,0.9998524,Very-Low
"Radiological supervision and interpretation X-ray of kidney cyst, lower back contrast injection",Low,0.98251295,Very-Low
Measurement of field of vision during daylight conditions,Very-Low,0.9996761,Very-Low
Detection test for clostridium difficile,Low,0.6791183,Very-Low
"Hemoglobin measurement, per day",Very-Low,0.99758816,Very-Low
"X-ray of bones of face, less than 3 views",Very-Low,0.99960905,Very-Low
Gentamicin (antibiotic) level,Very-Low,0.9971578,Very-Low
Irrigation of vagina and/or application of drug to treat infection,Low,0.6937062,Very-Low
Examination of eye by ophthalmoscope with retinal drawing,Very-Low,0.91465604,Very-Low
Imaging for abscess or abnormal drainage tract procedure,Low,0.66781217,Very-Low
Single measurement of remaining air or lung capacity after exhalation,Very-Low,0.9987544,Very-Low
Detection test for human papillomavirus (hpv),Low,0.95073265,Very-Low
"X-ray of abdomen, single view",Very-Low,0.99981433,Very-Low
"Cast supplies, short leg cast, adult (11 years +), fiberglass",Low,0.99965215,Very-Low
X-ray survey of forearm or wrist bone density,Very-Low,0.97302735,Very-Low
"X-ray of hand, minimum of 3 views",Very-Low,0.9957195,Very-Low
"Health and behavior intervention, individual each 15 minutes",Very-Low,0.9997758,Very-Low
Screening examination of specimen cells,Very-Low,0.9090385,Very-Low
Measurement of field of vision during daylight conditions,Very-Low,0.9996761,Very-Low
Oral introduction of long drainage tube into small bowel,Very-Low,0.9628564,Very-Low
"Imaging of brain, less than 4 static views",Very-Low,0.80189985,Very-Low
"X-ray of spine of neck, 2 or 3 views",Very-Low,0.99976474,Very-Low
"X-ray of spine, 1 view",Very-Low,0.9996481,Very-Low
Analysis of pressure of upper limb artery with interpretation and report,Very-Low,0.8042998,Very-Low
Imaging of abdomen,Very-Low,0.85968083,Very-Low
Detection test for clostridium difficile toxins (stool pathogen),Very-Low,0.9590523,Very-Low
"Medical nutrition therapy, assessment and intervention, each 15 minutes",Very-Low,0.9974847,Very-Low
Ultrasound of arm or leg,Very-Low,0.7662205,Very-Low
Hemoglobin A1C level,Very-Low,0.99616915,Very-Low
Imaging of urinary tract with injection of contrast into a vein,Low,0.64431775,Very-Low
PSA (prostate specific antigen) measurement,Very-Low,0.9990656,Very-Low
Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,Very-Low,0.9993949,Very-Low
Gammaglobulin (immune system protein) measurement,Very-Low,0.994551,Very-Low
Ultrasonic guidance imaging supervision and interpretation for amniocentesis,Low,0.60395795,Very-Low
"Coagulation or fibrinolysis (clot dissolving) function measurement with interpretation and written report, per day",Very-Low,0.99838233,Very-Low
"Injection beneath the skin or into muscle for therapy, diagnosis, or prevention",Moderate-Low,0.41316164,Very-Low
Gammaglobulin (immune system protein) measurement,Very-Low,0.994551,Very-Low
"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list separately in addition to g0204 or g0206)",Very-Low,0.9904688,Very-Low
Fracture assessment of spine bones using dedicated X-ray machine for bone density measurement,Very-Low,0.9998234,Very-Low
Imaging of brain and spinal cord fluid flow in brain compartments (ventricles),Low,0.9697132,Very-Low
Rheumatoid factor level,Very-Low,0.998665,Very-Low
Screening examination of specimen cells,Very-Low,0.9090385,Very-Low
"Medical nutrition therapy re-assessment and intervention, each 15 minutes",Very-Low,0.9991135,Very-Low
Hearing test using earphones,Very-Low,0.9407353,Very-Low
Blood osmolality (concentration) measurement,Very-Low,0.9104131,Very-Low
Organic acid level,Very-Low,0.9973375,Very-Low
Thyroglobulin (thyroid related hormone) level,Very-Low,0.99938285,Very-Low
"Chiropractic manipulative treatment, 3 to 4 spinal regions",Very-Low,0.99094933,Very-Low
Diagnostic imaging of retina,Very-Low,0.7991525,Very-Low
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Very-Low,0.99692684,Very-Low
"Evaluation of implantable heart recorder system including physician analysis, review, and report",Very-Low,0.99469006,Very-Low
Immunologic analysis for detection of organism,Very-Low,0.90836126,Very-Low
Imaging of small intestine,Very-Low,0.6649122,Very-Low
Phosphatase (enzyme) measurement,Very-Low,0.77233046,Very-Low
Imaging of jaws and skull for orthodontic purposes,Low,0.99588805,Very-Low
DNA testing for genetic defects,Low,0.9098692,Very-Low
"Subsequent hospital inpatient care, typically 15 minutes per day",Very-Low,0.9253195,Very-Low
Routine EKG using at least 12 leads including interpretation and report,Very-Low,0.9988801,Very-Low
Electrical stimulation for guidance with injection of chemical for destruction of muscles,Very-Low,0.651271,Very-Low
"Follow-up or limited heart doppler ultrasound study of heart blood flow, valves, and chambers",Low,0.7421664,Very-Low
"X-ray of mastoid, minimum of 3 views per side",Very-Low,0.9969291,Very-Low
Special stain for parasites,Very-Low,0.9989316,Very-Low
"Gonadotropin, luteinizing (reproductive hormone) level",Very-Low,0.99784243,Very-Low
Determination of lung volumes using plethysmography,Very-Low,0.992584,Very-Low
Radiological supervision and interpretation X-ray of tear drainage structure of eye,Very-Low,0.86781037,Very-Low
"Catheterization for collection of specimen, single patient, all places of service",Very-Low,0.98108304,Very-Low
Cell examination of specimen,Low,0.7087185,Very-Low
"Imaging of 2 or more joints, single view",Very-Low,0.9993419,Very-Low
"High osmolar contrast material, 300-349 mg/ml iodine concentration, per ml",Moderate-Low,0.9351996,Very-Low
Measurement and graphic recording of total and timed exhaled air capacity,Very-Low,0.99993324,Very-Low
Assessment of eardrum and muscle function,Very-Low,0.97151834,Very-Low
"X-ray of upper arm, minimum of 2 views",Very-Low,0.9982108,Very-Low
Radiological supervision and interpretation X-ray of elbow,Low,0.82167226,Very-Low
X-ray of small intestine by small bowel tube,Low,0.9431221,Very-Low
Carcinoembryonic antigen (CEA) protein level,Very-Low,0.9994342,Very-Low
Injection of chemical for destruction of sweat glands,Low,0.98670363,Low
Incision and drainage of roof of mouth or its soft tissue projection,Moderate-Low,0.9478277,Low
"Skin graft at trunk, arms, or legs",Low,0.8447212,Low
Psychological testing with interpretation and report by psychologist or physician per hour,Low,0.9998735,Low
Assessment of muscle signal of pelvic nerves,Low,0.56885684,Low
Mechanical separation of platelet cells from blood,Low,0.99406356,Low
Radiological supervision and interpretation of imaging of artery of breast,Low,0.877685,Low
Fine needle aspiration using imaging guidance,Low,0.9984855,Low
Suture of internal abdominal lining using an endoscope,Moderate-High,0.39332196,Low
"Incision of abscess, cyst, or blood accumulation in mouth",Moderate-Low,0.6339478,Low
Nuclear medicine study limited area,Very-Low,0.76391566,Low
MRI scan of upper spinal canal with contrast,Low,0.88436824,Low
Tying or incision of fallopian tubes at time of cesarean delivery or other abdominal surgery,Low,0.5869372,Low
"Evaluation of defibrillator including connection, recording and disconnection",Low,0.5050659,Low
Blood bank physician services for cross match and/or evaluation and written report,Low,0.98970044,Low
Radiological supervision and interpretation of drawing blood via catheter procedure,Low,0.9614326,Low
"Radiological supervision and interpretation of imaging of liver vein with assessment of blood flow, injection of contrast (accessed through the skin)",Low,0.96344966,Low
CT scan of face before and after contrast,Low,0.99540424,Low
Family psychotherapy,Low,0.84556854,Low
Removal of central venous catheter for infusion,Low,0.6145801,Low
"Observation, testing, and recording of abnormal eye movement",Low,0.9339419,Low
"Strapping, Unna boot",Low,0.9785961,Low
