rsd,y_pred,y_conf,y_true,provider_count,unique_beneficiary_provider
"Conforming bandage, non-elastic, knitted/woven, sterile, width greater than or equal to three inches and less than five inches, per yard",0,0.9941193,0,31,79
Pap test (Pap smear) ,0,0.98291737,0,26,513
Removal of skin tags ,0,0.70024043,0,446,553
Analysis for antibody to Plasmodium (malaria parasite),1,0.8217532,0,30,89
Pathology examination of tissue using a microscope,0,0.81731826,0,7914,67621
"Methotrexate sodium, 5 mg",0,0.94685715,0,1554,7566
Mapcp demonstration - physician incentive pool ,0,0.583516,0,1,222279
"Incision of vein for insertion of needle or catheter, patient age 1 or over",0,0.42571652,0,56,1025
"High osmolar contrast material, up to 149 mg/ml iodine concentration, per ml",0,0.99390644,0,342,1423
Body fluid pH level ,0,0.989629,0,3521,621037
Sulfhemoglobin (hemoglobin) level,0,0.9314408,0,13,25
Gammaglobulin (immune system protein) measurement ,0,0.9681065,0,2908,421769
Bleeding time,0,0.94373685,0,237,535
Liver function blood test panel,0,0.99263966,0,20722,1258221
"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml ",0,0.9959054,0,26,831
Human growth hormone level,1,0.88936955,0,363,21373
Pap test (Pap smear),0,0.9801036,0,1661,48530
White blood cell count,0,0.9971691,0,652,19777
"Injection, ciprofloxacin for intravenous infusion, 200 mg",0,0.9858915,0,246,694
Special stained specimen slides to examine tissue including interpretation and report,1,0.90104324,0,9884,328320
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (not otherwise specified)",0,0.99361837,0,24,232
Screening test for antibody to noninfectious agent,1,0.649761,0,255,9677
Analysis for antibody to Helicobacter pylori (gastrointestinal bacteria),0,0.5782922,0,6,19
"Injection, micafungin sodium, 1 mg ",0,0.9837569,0,140,267
Vaginal fluid chemical analysis for bacteria,0,0.93952835,0,371,2788
"Blood test, basic group of blood chemicals ",0,0.99553853,0,67,22230
"High osmolar contrast material, 200-249 mg/ml iodine concentration, per ml",0,0.9977983,0,72,3221
"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",0,0.9739949,0,305,476
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (flulaval) ",0,0.99665666,0,11856,198616
Hepatitis B surface antibody measurement,0,0.97044075,0,4,38
"Injection, dimenhydrinate, up to 50 mg ",0,0.96853304,0,33,258
Immunologic analysis for detection of antigen or antibody ,1,0.5251165,0,274,7030
"Infusion, albumin (human), 25%, 20 ml",0,0.7419423,0,64,149
Body fluid pH level,0,0.98742944,0,2769,166514
"Imaging of brain, blood flow ",1,0.84195364,0,283,332
"Low osmolar contrast material, 100-199 mg/ml iodine concentration, per ml ",0,0.9983525,0,1410,33077
"Bacterial colony count, urine ",0,0.99614596,0,13775,3332964
"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme ",0,0.9792789,0,37,238
Detection test for Hepatitis B surface antigen,0,0.95391375,0,8,28
Glycated protein level ,0,0.9871973,0,2,18
"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",0,0.98561144,0,521,1047
"Injection, levoleucovorin calcium, 0.5 mg",0,0.9864676,0,1492,7817
Levetiracetam level,0,0.6257703,0,12,420
"Non-radioactive contrast imaging material, not otherwise classified, per study",0,0.8727612,0,21,37
"X-ray of both knees, standing, front to back view",0,0.870099,0,6851,27693
Strapping of toes ,0,0.92576957,0,4675,36655
Measurement of largest amount of air breathed in an out of lungs over one minute ,0,0.97910166,0,2100,66420
"Ascorbic acid (Vitamin C) level, blood ",0,0.97664773,0,214,20709
Chronic care management services at least 20 minutes per calendar month ,0,0.81132126,0,7620,314141
"Infusion, normal saline solution, sterile (500 ml=1 unit) ",0,0.99656975,0,9549,101749
"Imaging from nose to rectum, single view, child",0,0.96422076,0,18,19
"Injection, factor ix, albumin fusion protein, (recombinant), idelvion, 1 i.u.",0,0.95361924,0,32,45
Amylase (enzyme) level,0,0.89441097,0,15,674
"Injection, aripiprazole lauroxil, 1 mg",0,0.9820771,0,6,12
Imaging of surgical specimen ,0,0.970898,0,8407,48661
Primidone level ,0,0.89875865,0,274,24190
"Dermagraft, per square centimeter",0,0.96253586,0,5,11
"Injection, lorazepam, 2 mg ",0,0.9821494,0,4,13
"Injection, triamcinolone diacetate, per 5mg ",0,0.983167,0,527,12860
Fatty acids measurement,0,0.87118745,0,72,76834
"Injection, sterile cefuroxime sodium, per 750 mg ",0,0.9598163,0,117,2155
Detection test for legionella pneumophila (water borne bacteria),0,0.7096893,0,19,3192
"Injection, midazolam hydrochloride, per 1 mg ",0,0.9868407,0,3065,113451
Phosphate level,0,0.9702486,0,32,1090
Temporary pacemaker to regulate heart beat,3,0.42851278,0,1,18
"Training in use of orthotics (supports, braces, or splints) for arms, legs and/or trunk each 15 minutes",1,0.8993056,0,5106,35212
Smear for infectious agents ,0,0.98214704,0,19336,80826
Gonadotropin (reproductive hormone) analysis ,0,0.6892776,0,2877,13407
"Face-to-face behavioral counseling for obesity, group (2-10), 30 minutes",0,0.9903094,0,126,1227
"Injection, non-radioactive, non-contrast, visualization adjunct (e.g., methylene blue, isosulfan blue), 1 mg",0,0.97670484,0,23,53
Training in use of prosthesis for arms and/or legs each 15 minutes,0,0.5605579,0,337,623
Hemoglobin level,0,0.99639785,0,195,2517
Tissue preparation for culture,0,0.9835825,0,89,1989
"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes ",0,0.9831145,0,4037,20903
Lipase (fat enzyme) level ,0,0.9456798,0,11413,405478
"Demonstration and/or evaluation of patient use of aerosol generator, nebulizer, metered dose inhaler or intermittent positive pressure breathing (IPPB) device",0,0.9578511,0,11897,140307
Troponin (protein) analysis,0,0.6799474,0,6,15
"X-ray of chest, 2 views, front and side",1,0.8586163,0,1629,2528
Lipoprotein (A) level,0,0.95561725,0,411,182219
"Injection, paclitaxel, 1 mg ",0,0.8262768,0,5248,45312
Automated white blood cell count ,0,0.994103,0,11,68
"Injection, enoxaparin sodium, 10 mg ",0,0.9923487,0,2341,6483
Kidney function blood test panel ,0,0.9917704,0,25,577
"Cast supplies, long arm splint, adult (11 years +), plaster ",0,0.9982333,0,874,1697
"Injection, meperidine hydrochloride, per 100 mg",0,0.9878213,0,4899,19004
Use of vertical electrodes during eye or balance evaluation,0,0.96790445,0,1578,28746
"Injection, decitabine, 1 mg",0,0.9648919,0,2617,6689
"Injection, hyaluronidase, ovine, preservative free, per 1 usp unit (up to 999 usp units) ",0,0.93841887,0,19,239
"Injection, rimabotulinumtoxinb, 100 units",0,0.96935016,0,7,13
"Injection, betamethasone acetate 3mg and betamethasone sodium phosphate 3mg ",0,0.96968865,0,22068,827946
"Health and behavior intervention, group each 15 minutes",0,0.9992901,0,125,2121
"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",0,0.9810445,0,45,426
"Cast supplies, short arm cast, adult (11 years +), fiberglass",1,0.57134736,0,11567,59085
Trimming of fingernails or toenails ,0,0.91462874,0,1311,22772
PCP drug level,0,0.9613135,0,745,74100
Hematology and coagulation procedures ,0,0.6477137,0,34,1824
"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units ",0,0.9851408,0,901,2067
"Protein analysis of tissue by western blot, with interpretation and report",0,0.9628809,0,4,926
"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",0,0.8827059,0,5975,155831
Isocitric dehydrogenase (enzyme) level ,0,0.85918826,0,6,86
Coagulation assessment blood test,0,0.8709103,0,14,302
Measurement for Strep antibody (strep throat),0,0.890817,0,505,48467
Hemoglobin A1C level ,0,0.9988411,0,62994,8461583
"Injection, hemin, 1 mg",0,0.9185331,0,37,37
"X-ray of chest, 2 views, front and side ",1,0.8699005,0,31132,8006445
Homocysteine (amino acid) level ,0,0.6364073,0,6,16
"X-ray of spine, 2 or 3 views",1,0.9034707,0,6014,31234
"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2, screening",0,0.8667427,0,83,239
Nasal smear for eosinophils (allergy related white blood cells),0,0.9747097,0,318,7661
Screening test for mononucleosis (mono),0,0.93543357,0,5980,18473
"Injection, magnesium sulfate, per 500 mg ",0,0.975438,0,5078,35562
Mononucleosis antibody level,0,0.97928977,0,12,36
Routine EKG using at least 12 leads including interpretation and report,0,0.9934629,0,161415,8975029
Temporary pacemaker to regulate heart beat ,3,0.42700687,0,2,21
Bilirubin level,0,0.9939184,0,13,116
Timed assessment of bladder emptying,0,0.58253884,0,124,993
Liver function blood test panel,0,0.99264187,0,24,885
Assessment of speech hearing loss,0,0.95778376,0,6,13
Screening test for red blood cell antibodies,0,0.9739498,0,559,26110
"Group treatment of speech, language, voice, communication, and/or hearing processing disorder",0,0.51656795,0,109,510
"Injection, aripiprazole, extended release, 1 mg",0,0.971169,0,5,12
"Injection, decitabine, 1 mg",0,0.9648919,0,2620,6769
Phenytoin level,1,0.64532316,0,4,91
"Therapeutic procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",0,0.9826135,0,19,75
"X-ray of skull, complete, minimum of 4 views",0,0.5100147,0,3773,5629
"Injection, gadobutrol, 0.1 ml",0,0.980191,0,4358,159363
Measurement of substance using immunoassay technique,0,0.78406894,0,5,13
"Epifix, injectable, 1 mg",0,0.33770624,0,23,53
"Urinalysis, manual test ",0,0.9886225,0,105788,2967076
"Injection, potassium chloride, per 2 meq ",0,0.9852277,0,4330,22750
"Tc-99m from non-highly enriched uranium source, full cost recovery add-on, per study dose ",0,0.9493672,0,26,1876
"Injection, diazepam, up to 5 mg",0,0.98466194,0,929,4430
"Injection, hydrocortisone sodium succinate, up to 100 mg",0,0.9769026,0,3472,18256
Hearing test in soundproof booth,0,0.8050534,0,9,39
Immunologic analysis for detection of organism,1,0.7850484,0,4,26
"Injection, digoxin, up to 0.5 mg",0,0.9642104,0,40,68
"Injection, ziconotide, 1 microgram ",0,0.97792757,0,6,16
"X-ray of hip with pelvis, 2-3 views",0,0.81589556,0,26383,1232951
X-ray of jaw joints on both sides of the face,1,0.75171906,0,1313,1534
"Injection, adrenalin, epinephrine, 0.1 mg",0,0.79870504,0,1929,4361
Detection test for cryptosporidium (parasite),0,0.9625532,0,682,23522
Computer-aided detection and computer algorithm analysis of breast MRI image data ,0,0.56442666,0,1156,10493
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",0,0.9968863,0,41,301
"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral)",0,0.9949056,0,200,3261
"Injection, testosterone cypionate, 1 mg",0,0.99536175,0,7,12
"Coordinated care fee, physician coordinated care oversight services ",0,0.9424552,0,328,391223
Bacterial culture ,0,0.8398229,0,6421,646393
Macroscopic examination (visual inspection) of parasite,0,0.6266392,0,107,1026
Assessment of hearing using speech test with tone filtering,0,0.97821915,0,7,148
Injection of allergenic extracts into skin with delayed reaction analysis,0,0.9934714,0,156,1194
"Remote evaluations of implantable heart monitoring system with physician analysis, review, and report up to 30 days",0,0.961464,0,4164,95338
Phospholipid test,1,0.90216017,0,5,18
"Injection, hyaluronidase, up to 150 units ",1,0.7960037,0,72,535
Trimming of fingernails or toenails,0,0.9163362,0,6657,356988
"Injection, bivalirudin, 1 mg",0,0.97294295,0,22,233
Heavy metal screening test ,0,0.965123,0,8,5394
"Fat stain of stool, urine, or respiratory secretions",0,0.8165027,0,39,1257
Calcium level ,0,0.93972325,0,5,39
"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",0,0.8112237,0,66331,2997316
"Physician documentation of face-to-face visit for durable medical equipment determination performed by nurse practitioner, physician assistant or clinical nurse specialist",0,0.92596114,0,203,3395
"Complete blood cell count (red cells, white blood cell, platelets), automated test ",0,0.99526983,0,50,11942
"Bundled payments for care improvement initiative home visit for patient assessment performed by a qualified health care professional for individuals not considered homebound including, but not limited to, assessment of safety, falls, clinical status, fluid",0,0.83859205,0,22,2267
Assessment of two simultaneous words at different tones in same ear,0,0.89002186,0,106,673
"High intensity behavioral counseling to prevent sexually transmitted infection; face-to-face, individual, includes: education, skills training and guidance on how to change sexual behavior; performed semi-annually, 30 minutes",0,0.96717584,0,63,1070
"X-ray of toes, minimum of 2 views ",0,0.97876954,0,23064,58652
"X-ray of chest, 1 view, front",0,0.9733732,0,31029,12419220
"Injection, ampicillin sodium, 500 mg",0,0.9889776,0,419,2747
Thyroid hormone evaluation,0,0.8768158,0,3219,613237
"Injection, gadoteridol, (prohance multipack), per ml",0,0.98125297,0,695,9991
"Injection, calcitriol, 0.1 mcg ",0,0.9861013,0,25,111
Analysis of pressure of upper limb artery with interpretation and report,0,0.7524245,0,11,24
Measurement of antibody (IgE) to allergic substance,0,0.98824185,0,987,99579
Analysis for antibody to HIV-2 virus ,1,0.5925686,0,3,15
Detection test for influenza virus ,0,0.97661495,0,27,1544
Smear for parasites,0,0.9859094,0,5,50
Vaccine for influenza for injection into muscle,0,0.99563485,0,126214,7942190
Measurement of antibody (IgE) to allergic substance ,0,0.98846996,0,1000,90408
"Tc-99m from non-highly enriched uranium source, full cost recovery add-on, per study dose",0,0.9482027,0,53,4212
"Annual alcohol misuse screening, 15 minutes",0,0.9901626,0,143,6994
"Application of ultrasound to 1 or more areas, each 15 minutes ",0,0.9921685,0,20,44
"Injection, terbutaline sulfate, up to 1 mg ",0,0.99590623,0,49,220
Measurement C-reactive protein for detection of infection or inflammation ,0,0.98013294,0,5,46
"Injection, metoclopramide hcl, up to 10 mg",0,0.99086213,0,1574,4277
"Injection, methadone hcl, up to 10 mg",0,0.9983925,0,7,79
Hepatitis B surface antibody measurement,0,0.97044075,0,4,12
"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2, screening ",0,0.8612021,0,52,109
"Health and behavior intervention, individual each 15 minutes",0,0.9991105,0,640,5273
"Barbiturates, not elsewhere specified ",0,0.9091743,0,1174,458311
"Injection, streptomycin, up to 1 gm ",0,0.9218423,0,8,21
Flurazepam ,0,0.86657536,0,4,12
Measurement C-reactive protein for detection of infection or inflammation ,0,0.9801338,0,3334,431981
Troponin (protein) analysis,0,0.67994666,0,150,677
"X-ray of skull, complete, minimum of 4 views ",1,0.52046317,0,4407,6757
Screening test for autoimmune disorder ,0,0.9728285,0,4067,717519
"X-ray of lower and sacral spine, 2 or 3 views",1,0.7484589,0,25056,852554
Administration of vaccine ,0,0.99456847,0,9389,24353
Health and behavior assessment each 15 minutes ,0,0.9963458,0,641,12252
Pap test,1,0.82678896,0,28,209
"Injection, methylprednisolone acetate, 20 mg",0,0.9970591,0,11040,138140
"Oral magnetic resonance contrast agent, per 100 ml",0,0.6974692,0,31,325
"Injection, promethazine hcl, up to 50 mg",0,0.9986815,0,26119,65940
"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes ",0,0.98228824,0,2146,108609
"Detection test for Influenza virus, A or B ",0,0.9772071,0,1630,14194
Mapcp demonstration - state provided services,0,0.4852,0,2,231613
"Conforming bandage, non-elastic, knitted/woven, non-sterile, width greater than or equal to 5 inches, per yard",0,0.98797065,0,16,22
Dark field microscopic examination for organism ,0,0.9604341,0,3,69
"Injection, aripiprazole lauroxil, 1 mg",0,0.9820771,0,18,27
Measurement and graphic recording of amount and speed of breathed air over 30-day period ,1,0.8283699,0,25,303
"Application of ultrasound to 1 or more areas, each 15 minutes",0,0.99355835,0,37462,440457
"Injection, collagenase, clostridium histolyticum, 0.01 mg",0,0.78077614,0,1766,6491
Blood chloride level,0,0.99393207,0,4,157
"Allergy testing with drugs or biologicals into or within the skin, immediate type reaction, including test interpretation and report",0,0.9819602,0,189,1212
Urine sodium level,0,0.9977397,0,8,101
Amino acid analysis ,0,0.9628357,0,181,9480
"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg ",0,0.99464697,0,9,15
"Injection, milrinone lactate, 5 mg",0,0.99062634,0,5,29
Application of allergenic extract skin patch with reaction analysis,0,0.98728716,0,5852,24458
"Injection, degarelix, 1 mg ",0,0.9661727,0,3388,13187
Lipase (fat enzyme) level,0,0.94530934,0,11910,407970
Preparation and provision of 4 single stinging insect venom for allergen immunotherapy,0,0.8946185,0,20,54
Placement of ear probe for computerized measurement of sound with interpretation and report ,0,0.55277276,0,119,595
"Vaccine for influenza for administration into muscle, 0.5 ml dosage",0,0.9952419,0,382,1282
Dark field microscopic examination for organism,0,0.95512664,0,4,73
"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u.",2,0.47684193,0,32,51
"X-ray of teeth, full mouth ",0,0.89953834,0,50,188
Single measurement of remaining air or lung capacity after exhalation,0,0.9758447,0,71,2854
"Annual depression screening, 15 minutes ",0,0.9928219,0,12333,531870
Telehealth originating site facility fee,0,0.97636694,0,1604,46869
Urine microalbumin (protein) analysis ,0,0.97921443,0,15526,451543
"Injection, methylprednisolone acetate, 40 mg",0,0.9947865,0,54770,1405826
Interpretation and report of electrical activity of heart using 1-3 leads,0,0.9642261,0,7407,291300
"Injection, tocilizumab, 1 mg ",0,0.92521286,0,2169,10563
"Injection, furosemide, up to 20 mg ",0,0.984481,0,15,29
Surface recording of electrical activity of muscles during walking or other functional activities 1-12 muscles,0,0.6670242,0,13,209
"Injection, ceftriaxone sodium, per 250 mg",0,0.9860247,0,22,28
"Platelet count, automated test",0,0.9912033,0,1882,25692
Refill kit for implantable infusion pump,0,0.71991736,0,51,1763
"X-ray of middle spine, 3 views ",0,0.6946066,0,16081,151425
Cryofibrinogen (protein) level,0,0.56832457,0,87,944
"Injection, atropine sulfate, 0.01 mg",0,0.99090415,0,4121,16456
"Vaccine for influenza for administration into muscle, 0.5 ml dosage",0,0.9952388,0,30514,294354
"Vaccine for influenza for injection into muscle, patient 3 years and older ",0,0.9952289,0,146,464
"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",0,0.9958941,0,25,438
"Injection of allergenic extracts into skin, accessed through the skin",0,0.9629669,0,10499,195828
Detection test for Vancomycin resistance strep (VRE),1,0.56754804,0,10,9649
Slings,0,0.92014474,0,11220,28220
"Walking training to 1 or more areas, each 15 minutes ",0,0.9993536,0,9,22
"Physician review, interpretation, and patient management of home inr testing for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria; testing not occurring more frequent",0,0.8634486,0,229,2589
"Gonadotropin, follicle stimulating (reproductive hormone) level",0,0.54587567,0,5,15
Analysis for antibody to Brucella (bacteria),0,0.82883906,0,94,1148
White blood cell antigen measurement ,1,0.8537848,0,106,2446
Administration of drug for helicobacter pylori,0,0.9410793,0,4187,44271
"Platelet count, automated test",0,0.99120367,0,10,30
Blood smear interpretation by physician with written report,1,0.8849481,0,182,589
"Moderate sedation services by physician also performing a procedure, additional 15 minutes",0,0.6095023,0,2885,64176
"Application of electrical stimulation to 1 or more areas, each 15 minutes ",0,0.9987356,0,12251,145707
"Injection, procainamide hcl, up to 1 gm ",0,0.9959941,0,19,271
Copper level,0,0.9364495,0,4,13
Analysis of urine,0,0.94945127,0,582,18652
Automated urinalysis test ,0,0.9914302,0,168,1534
Cryofibrinogen (protein) level ,0,0.5917885,0,78,964
Examination of stool for meat fibers,0,0.8178262,0,45,1817
"Hypertonic saline solution, 1 ml ",0,0.99244314,0,28,95
"Established patient office or other outpatient visit, typically 5 minutes",1,0.3973224,0,15368,70972
Strapping of ankle and/or foot ,0,0.8293244,0,9138,112656
"Injection, methylprednisolone sodium succinate, up to 40 mg",0,0.9971662,0,8176,51113
Valproic acid level,0,0.975346,0,13,1979
"Injection, non-radioactive, non-contrast, visualization adjunct (e.g., methylene blue, isosulfan blue), 1 mg ",0,0.97825867,0,20,85
"Injection, acyclovir, 5 mg ",0,0.93078,0,28,46
Repositioning or removal of external dialysis tube from vein to artery ,3,0.8232491,0,7,37
"Cast supplies, for unlisted types and materials of casts ",1,0.5326605,0,27,202
Use of vertical electrodes during eye or balance evaluation ,0,0.96992224,0,1891,31546
Injection of allergenic extracts into skin for immediate reaction analysis,0,0.9977412,0,92,494
"Red blood count, automated test",0,0.99836224,0,12,235
"Injection beneath the skin or into muscle for therapy, diagnosis, or prevention",0,0.86760086,0,600,6620
"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral)",0,0.9949055,0,1904,114452
Phosphate level,0,0.9702471,0,11770,974943
Blood smear interpretation by physician with written report,1,0.8849481,0,150,525
"Measurement and graphic recording of total and timed exhaled air capacity, infant or child through 2 years of age",0,0.6976535,0,7,13
Computer analysis of screening mammogram to assist detection of cancer,0,0.8578763,0,14227,2518039
Calcium level,0,0.9258314,0,9002,429190
Stool fat analysis ,1,0.7460714,0,3,11
Vaccine for influenza administered into muscle to children 6-35 months of age,0,0.9864158,0,172,284
X-ray of bone at base of skull,0,0.9427865,0,34,75
Aldolase (enzyme) level,0,0.916017,0,522,46745
Detection test for respiratory syncytial virus (RSV),0,0.50637996,0,255,1188
Health and behavior re-assessment each 15 minutes,0,0.993999,0,170,1077
"Electrical stimulation (unattended), to one or more areas for indication(s) other than wound care, as part of a therapy plan of care ",0,0.93717915,0,38812,1055932
Detection test for clostridium difficile toxin A (bacteria) ,0,0.7467657,0,194,604
Measurement for Strep antibody (strep throat),0,0.890817,0,453,43696
Gammaglobulin (immune system protein) measurement,0,0.9667965,0,20,93
"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral)",0,0.9949072,0,8224,1747865
Hepatitis C antibody measurement,1,0.77280354,0,8,41
"High osmolar contrast material, 350-399 mg/ml iodine concentration, per ml",0,0.99443567,0,129,1756
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (flulaval) ",0,0.99665785,0,35,189
"Influenza virus vaccine, split virus, for intramuscular use (agriflu)",0,0.97426784,0,14,32
"Acetylcysteine, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per gram",0,0.9777067,0,20,326
"Injection, testosterone undecanoate, 1 mg",0,0.98871595,0,613,2409
Quinine (drug) level,1,0.6396702,0,2,15327
LDL cholesterol level,0,0.9975768,0,7968,708745
"Physical performance test or measurement with report, each 15 minutes",1,0.7684174,0,6,56
Identification of organisms by genetic analysis,0,0.3825413,0,106,6620
Ketone bodies analysis,0,0.929128,0,88,625
"X-ray of hip on one side of body, 1 view ",1,0.59192157,0,20177,226663
"Cast supplies, for unlisted types and materials of casts",1,0.55948836,0,25,131
"Brachytherapy source, stranded, iodine-125, per source",0,0.8750792,0,17,357
"Application of medication through skin using electrical current, each 15 minutes ",0,0.97735924,0,6206,28993
"Injection, naltrexone, depot form, 1 mg ",0,0.9686285,0,126,281
Examination of cornea and iris using lens device and slit lamp,0,0.91034806,0,1088,17054
Lead level,0,0.974212,0,489,31812
Blood glucose (sugar) measurement using reagent strip,0,0.9606022,0,8,21
Detection test for multiple organisms,1,0.7689679,0,35,273
"Cast supplies, long leg splint, adult (11 years +), plaster ",0,0.9922661,0,104,160
Extended color vision examination,0,0.79036975,0,43,219
"Oasis ultra tri-layer wound matrix, per square centimeter",0,0.9551666,0,1,29
Body fluid cell count,0,0.99820507,0,242,15622
Hemoglobin level ,0,0.9975616,0,256,3160
"Conforming bandage, non-elastic, knitted/woven, non-sterile, width less than three inches, per yard",0,0.9907227,0,51,141
Collection and analysis of exhaled air and carbon dioxide for evaluation of lung function,1,0.7203971,0,87,1563
"Injection, succinylcholine chloride, up to 20 mg ",0,0.9844625,0,14,14
"Development of cognitive skills to improve attention, memory, or problem solving, each 15 minutes",0,0.9798452,0,6,394
Phosphatase (enzyme) level,0,0.9727601,0,5045,325440
LDL cholesterol level,0,0.9975768,0,7648,646498
Set-up portable x-ray equipment ,0,0.9580181,0,328,812200
X-ray of arm in infant minimum of 2 views ,0,0.9244698,0,15,15
"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition, or treatment regimen (including additional hours needed for renal disease), group (2 or more individua",0,0.9842354,0,27,158
"Physical performance test or measurement with report, each 15 minutes",1,0.76841754,0,10,64
"Fungal culture, yeast",0,0.9937144,0,451,20590
"Red blood count, automated test ",0,0.9981863,0,6,440
"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral) ",0,0.9950482,0,518,9759
"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",0,0.8113531,0,35,86
"Injection, denosumab, 1 mg",0,0.98518384,0,13,25
Oxalate level,0,0.98172885,0,243,48026
