description,y_pred,y_conf,y_true
Triglycerides level,Very-Low,0.9992193,Very-Low
Ultrasonic guidance for drainage of sac that covers the heart,Low,0.92707515,Very-Low
X-ray of voice box and/or esophagus,Very-Low,0.9664079,Very-Low
"X-ray of lower and sacral spine, 2 or 3 views",Very-Low,0.9983222,Very-Low
Physician services for outpatient heart rehabilitation with continuous EKG monitoring per session,Very-Low,0.91968817,Very-Low
"Pessary, rubber, any type",Very-Low,0.95132095,Very-Low
Fitting of contact lens for treatment of ocular surface disease,Low,0.98404354,Very-Low
"X-ray of ankle, 2 views",Very-Low,0.9999974,Very-Low
Evaluation of eye adaptation to light and dark (rods and cones),Very-Low,0.9391802,Very-Low
Routine electrocardiogram (EKG) with tracing using at least 12 leads,Very-Low,0.95155746,Very-Low
Ultrasound of fetal umbilical artery flow rate,Very-Low,0.97446775,Very-Low
Cardiac output measurements,Very-Low,0.9972632,Very-Low
Flow cytometry technique for DNA or cell analysis,Very-Low,0.6446482,Very-Low
Immunologic analysis for detection of tumor antigen,Very-Low,0.97188765,Very-Low
Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),Very-Low,0.7695004,Very-Low
Clinical pathology consultation,Very-Low,0.75863004,Very-Low
Renin (kidney enzyme) level,Very-Low,0.998161,Very-Low
Creatine kinase (cardiac enzyme) level,Very-Low,0.98367476,Very-Low
Coagulation assessment blood test,Very-Low,0.8810911,Very-Low
Stool analysis for blood,Very-Low,0.9700142,Very-Low
Removal of skin tags,Very-Low,0.9289329,Very-Low
Cortisol (hormone) measurement,Very-Low,0.9981109,Very-Low
Liver function blood test panel,Very-Low,0.9813479,Very-Low
Preparation and provision of 2 single stinging insect venom for allergen immunotherapy,Very-Low,0.99559903,Very-Low
"Screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory",Very-Low,0.970057,Very-Low
Imaging of surgical specimen,Very-Low,0.8939657,Very-Low
Imaging of abdomen,Very-Low,0.99712247,Very-Low
Detection of middle ear fluid with assessment of eardrum and muscle function,Very-Low,0.94664836,Very-Low
Recording to evaluate height and duration of heart beats through damaged heart tissue,Very-Low,0.8220624,Very-Low
Imaging of liver and spleen,Very-Low,0.9920969,Very-Low
"Heart rhythm tracing, analysis, and interpretation of 48-hour EKG",Low,0.97511756,Very-Low
X-ray lower and sacral spine including bending views minimum 6 views,Very-Low,0.99627566,Very-Low
Ferritin (blood protein) level,Very-Low,0.9988217,Very-Low
Special stained specimen slides to examine tissue,Low,0.99373996,Very-Low
Coagulation assessment blood test,Very-Low,0.8810911,Very-Low
Ultrasound measurement of bladder capacity after voiding,Very-Low,0.9529243,Very-Low
Puncture aspiration of breast cyst,Low,0.9157993,Very-Low
X-ray of esophagus,Very-Low,0.92927116,Very-Low
Evaluation of specimen enzymes,Low,0.7211416,Very-Low
"Evaluation and programming adjustment of defibrillator with analysis, review and report",Very-Low,0.6020893,Very-Low
"Pathologist examination, dissection, and preparation of tissue",Very-Low,0.97983485,Very-Low
Digoxin level,Very-Low,0.9996165,Very-Low
Liver function blood test panel,Very-Low,0.9813479,Very-Low
Glycated protein level,Very-Low,0.9953602,Very-Low
Special stained specimen slides to identify organisms including interpretation and report,Very-Low,0.9591421,Very-Low
Counseling visit to discuss need for lung cancer screening using low dose ct scan (ldct) (service is for eligibility determination and shared decision making),Very-Low,0.83513623,Very-Low
Lipase (fat enzyme) level,Very-Low,0.91863555,Very-Low
Analysis using chemiluminescent technique (light and chemical )reaction,Very-Low,0.97804606,Very-Low
"X-ray of foot, 2 views",Very-Low,0.9999982,Very-Low
"Thyroid hormone, T3 measurement",Very-Low,0.9984211,Very-Low
"X-ray of spine, 4 or 5 views",Very-Low,0.9999739,Very-Low
"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition, or treatment regimen (including additional hours needed for renal disease), group (2 or more individua",Very-Low,0.93801177,Very-Low
Thyroglobulin (thyroid related hormone) level,Very-Low,0.9802351,Very-Low
Detection test for Hepatitis B surface antigen,Low,0.91058946,Very-Low
Puncture aspiration of breast cyst,Low,0.9157993,Very-Low
Testosterone (hormone) level,Very-Low,0.86735755,Very-Low
Assessment and recording of abnormal eye movement while tracking moving object,Very-Low,0.9616457,Very-Low
Bilirubin level,Very-Low,0.999678,Very-Low
Prostate cancer screening; prostate specific antigen test (psa),Very-Low,0.95391357,Very-Low
Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,Very-Low,0.92964077,Very-Low
Chromosome analysis for genetic defects,Low,0.9926514,Very-Low
"X-ray of bones of face, minimum of 3 views",Very-Low,0.99982965,Very-Low
Screening examination of specimen cells,Very-Low,0.92935085,Very-Low
"X-ray of teeth, less than full mouth",Very-Low,0.9991001,Very-Low
Diagnostic testing in a pulmonary function lab,Very-Low,0.85122025,Very-Low
"X-ray of femur, 1 view",Very-Low,0.9999789,Very-Low
"Physician re-certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial imp",Very-Low,0.5183609,Very-Low
Stool culture,Very-Low,0.99940825,Very-Low
"X-ray of upper spine, 6 or more views",Very-Low,0.98716205,Very-Low
X-ray of bones,Very-Low,0.9997693,Very-Low
"Therapeutic activities to improve function, with one-on-one contact between patient and provider, each 15 minutes",Very-Low,0.97580636,Very-Low
"Strep test (Streptococcus, group A)",Moderate-Low,0.47368002,Very-Low
"Psychotherapy, 30 minutes with patient and/or family member",Low,0.9899419,Very-Low
Hemoglobin analysis and measurement,Very-Low,0.9945703,Very-Low
Diagnostic imaging of optic nerve of eye,Low,0.78961706,Very-Low
Nuclear medicine study of tear drainage structure of eye,Low,0.9573566,Very-Low
Screening test for antibody to noninfectious agent,Very-Low,0.9741931,Very-Low
Quantitation of therapeutic drug,Low,0.56999904,Very-Low
Measurement of eye muscles to detect deviation of eyeball,Very-Low,0.7145974,Very-Low
Measurement of heart blood flow and respiration,Low,0.5075955,Very-Low
Urea nitrogen level to assess kidney function,Very-Low,0.7223552,Very-Low
Collection and analysis of exhaled air and carbon dioxide for evaluation of lung function,Very-Low,0.91131914,Very-Low
Phenytoin level,Very-Low,0.999899,Very-Low
X-ray of esophagus,Very-Low,0.92927116,Very-Low
"Annual depression screening, 15 minutes",Very-Low,0.97851187,Very-Low
"X-ray of chest, 2 views, front and side",Very-Low,0.9998665,Very-Low
Cardiac output measurements,Very-Low,0.9972632,Very-Low
Therapeutic procedures in a group setting,Low,0.5058454,Very-Low
3D radiographic procedure,Very-Low,0.96610695,Very-Low
Timed assessment of bladder emptying,Very-Low,0.94802094,Very-Low
"Inpatient telehealth pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy",Low,0.8637841,Very-Low
"X-ray of upper spine, 4 or 5 views",Very-Low,0.99538773,Very-Low
"X-ray of wrist, minimum of 3 views",Very-Low,0.9999964,Very-Low
Imaging for evaluation of swallowing function,Very-Low,0.96125543,Very-Low
Telehealth originating site facility fee,Very-Low,0.9842445,Very-Low
Ambulatory blood pressure monitoring 24 hours or longer with interpretation and report,Very-Low,0.9261288,Very-Low
Screening test for antibody to noninfectious agent,Very-Low,0.9741931,Very-Low
Ultrasound scanning of blood flow (outside of brain) on one side of head and neck or limited,Very-Low,0.9547982,Very-Low
Levetiracetam level,Very-Low,0.996443,Very-Low
"Ultrasound scan of blood flow of aorta, vena cava, bypass graphs, or one side of the groin or limited scan",Low,0.6328812,Very-Low
"X-ray of fingers, minimum of 2 views",Very-Low,0.9999242,Very-Low
"Screening cytopathology smears, cervical or vaginal, performed by automated system with manual rescreening",Very-Low,0.9872256,Very-Low
Evaluation of specimen enzymes,Low,0.7211416,Very-Low
Immunologic analysis technique on body fluid,Very-Low,0.9944759,Very-Low
"Diabetes outpatient self-management training services, individual, per 30 minutes",Very-Low,0.95214945,Very-Low
Immunologic analysis technique on body fluid,Very-Low,0.9944759,Very-Low
Hepatitis B surface antibody measurement,Very-Low,0.99896324,Very-Low
X-ray lower and sacral spine including bending views minimum 6 views,Very-Low,0.99627566,Very-Low
Measurement C-reactive protein for detection of infection or inflammation,Very-Low,0.9710461,Very-Low
Quantitation of therapeutic drug,Low,0.56999904,Very-Low
Trimming of fingernails or toenails,Low,0.69375646,Very-Low
Bone marrow aspiration performed with bone marrow biopsy through the same incision on the same date of service,Very-Low,0.8893258,Very-Low
Radiological supervision and interpretation of imaging of artery,Low,0.9910142,Very-Low
Examination of eye by ophthalmoscope with retinal drawing,Very-Low,0.9841687,Very-Low
Collection and analysis of exhaled air for evaluation of lung function during rest and exercise,Very-Low,0.92335325,Very-Low
X-ray of soft tissue of neck,Very-Low,0.96727186,Very-Low
"Smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",Very-Low,0.9210084,Very-Low
"X-ray of spine, 1 view",Very-Low,0.99999714,Very-Low
X-ray of shoulder blade,Very-Low,0.9917424,Very-Low
Removal of inflamed or infected skin,Low,0.40472025,Very-Low
Mammography of one breast,Low,0.59111947,Very-Low
"Smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",Very-Low,0.9210084,Very-Low
"X-ray of skull, complete, minimum of 4 views",Very-Low,0.9999492,Very-Low
"X-ray of both sides of the ribs including the chest, minimum of 4 views",Very-Low,0.999295,Very-Low
"Remote evaluations of defibrillator transmissions, technician review, support and distribution of results up to 90 days",Very-Low,0.94500065,Very-Low
Red blood cell antibody detection test,Very-Low,0.85211635,Very-Low
X-ray of collar bone,Very-Low,0.99982387,Very-Low
"X-ray of bones of nose, minimum of 3 views",Very-Low,0.99969685,Very-Low
X-ray of salivary gland,Very-Low,0.99975497,Very-Low
Calcium level,Very-Low,0.9999887,Very-Low
"X-ray of chest, special views",Very-Low,0.99989736,Very-Low
Stool analysis for blood,Very-Low,0.9700142,Very-Low
Cardiac output measurements,Very-Low,0.9972632,Very-Low
"New patient office or other outpatient visit, typically 10 minutes",Very-Low,0.7696746,Very-Low
"Self-care or home management training, each 15 minutes",Very-Low,0.99116045,Very-Low
"X-ray of elbow, minimum of 3 views",Very-Low,0.9999881,Very-Low
"X-ray of both hips with pelvis, 2 views",Very-Low,0.99966764,Very-Low
X-ray of bones,Very-Low,0.9997693,Very-Low
Ultrasound study of arteries and arterial grafts of one arm or limited,Very-Low,0.5102362,Very-Low
Health and behavior re-assessment each 15 minutes,Very-Low,0.9884039,Very-Low
"High osmolar contrast material, 300-349 mg/ml iodine concentration, per ml",Low,0.8750525,Very-Low
CT scan bone mineral density study 1 or more sites,Low,0.9382761,Very-Low
Platelet function test,Very-Low,0.9694597,Very-Low
"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth",Low,0.95069504,Very-Low
Complex chronic care management services each additional 30 minutes clinical staff time,Low,0.9572271,Very-Low
Ultrasound study of arteries and arterial grafts of one arm or limited,Very-Low,0.5102362,Very-Low
"X-ray of teeth, single view",Very-Low,0.999923,Very-Low
Observation and recording from multiple positions of abnormal eye movements,Very-Low,0.8829337,Very-Low
Removal of inflamed or infected skin,Low,0.40472025,Very-Low
X-ray of both collar bones,Very-Low,0.99671435,Very-Low
"Radiological supervision and interpretation X-ray of urinary bladder, minimum of 3 views",Very-Low,0.99892837,Very-Low
Phenytoin level,Very-Low,0.999899,Very-Low
Interrogation device evaluation (in person) of leadless heart pacemaker system,Low,0.98041016,Very-Low
"Training in use of orthotics (supports, braces, or splints) for arms, legs and/or trunk each 15 minutes",Very-Low,0.6543382,Very-Low
"Allergy testing with venoms into or within skin, immediate type reaction, including test interpretation and report",Very-Low,0.9647585,Very-Low
"Subsequent nursing facility visit, typically 10 minutes per day",Very-Low,0.83261436,Very-Low
Removal of impacted cerumen (one or both ears) by physician on same date of service as audiologic function testing,Very-Low,0.52948016,Very-Low
Thyroglobulin (thyroid protein) antibody measurement,Very-Low,0.9995623,Very-Low
Hearing test using earphones,Very-Low,0.85078025,Very-Low
Cell examination of body fluid,Very-Low,0.97639924,Very-Low
Chronic care management services at least 20 minutes per calendar month,Low,0.98081744,Very-Low
Imaging of abdomen,Very-Low,0.99712247,Very-Low
X-ray of voice box or throat,Very-Low,0.99275196,Very-Low
"Walking training to 1 or more areas, each 15 minutes",Very-Low,0.99945134,Very-Low
Thyroid hormone evaluation,Very-Low,0.9545814,Very-Low
"X-ray of mandible, minimum of 4 views",Very-Low,0.99998677,Very-Low
"Pessary, non rubber, any type",Very-Low,0.9740068,Very-Low
Observation and recording of abnormal eye movement,Very-Low,0.615473,Very-Low
"Brachytherapy source, stranded, iodine-125, per source",Very-Low,0.94755703,Very-Low
"Detection test for Influenza virus, A or B",Very-Low,0.9625951,Very-Low
Radiological supervision and interpretation of removal of obstructive material from large vein catheter procedure,Very-Low,0.504049,Very-Low
"X-ray of bones of face, less than 3 views",Very-Low,0.9973737,Very-Low
"Radioelements for brachytherapy, any type, each",Very-Low,0.904776,Very-Low
Observation and recording of abnormal eye movement,Very-Low,0.615473,Very-Low
"Fluoroscopic guidance for insertion, replacement or removal of central venous access device",Very-Low,0.7844142,Very-Low
Non-imaging determination of cardiovascular function,Very-Low,0.9347526,Very-Low
"X-ray of hand, 2 views",Very-Low,0.9999968,Very-Low
Hemoglobin analysis and measurement,Very-Low,0.9945703,Very-Low
"X-ray of breast bone, minimum of 2 views",Very-Low,0.9999769,Very-Low
"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",Very-Low,0.56986016,Very-Low
"X-ray of both knees, standing, front to back view",Very-Low,0.99179673,Very-Low
"X-ray of heel, minimum of 2 views",Very-Low,0.99999106,Very-Low
Assessment of speech hearing loss,Very-Low,0.9416756,Very-Low
"Protein measurement, serum",Very-Low,0.9863962,Very-Low
"Injection, non-radioactive, non-contrast, visualization adjunct (e.g., methylene blue, isosulfan blue), 1 mg",Very-Low,0.9226815,Very-Low
Immunologic analysis for detection of tumor antigen,Very-Low,0.97188765,Very-Low
CT scan bone mineral density study 1 or more sites,Low,0.9382761,Very-Low
Erythropoietin (protein) level,Very-Low,0.99784493,Very-Low
Measurement and graphic recording of total and timed exhaled air capacity,Very-Low,0.9408594,Very-Low
"Hemoglobin measurement, per day",Very-Low,0.9959812,Very-Low
Gabapentin level,Very-Low,0.9994603,Very-Low
"X-ray of junction of breast and collar bones, minimum of 2 views",Very-Low,0.99977213,Very-Low
Removal of single thickened skin growth,Very-Low,0.9773846,Very-Low
"Smoking and tobacco use intensive counseling, greater than 10 minutes",Very-Low,0.98714834,Very-Low
"Ventilation assistance and management, nursing facility per day",Low,0.981533,Very-Low
"X-ray of sacroiliac joints, less than 3 views",Very-Low,0.99979764,Very-Low
"Brachytherapy source, non-stranded, cesium-131, per source",Very-Low,0.9036989,Very-Low
Exercises to correct eyeball muscle imbalances,Very-Low,0.9436325,Very-Low
"X-ray of mastoid, less than 3 views per side",Very-Low,0.9995116,Very-Low
"Remote evaluations of implantable heart recorder system including transmissions, technician review, support, and distribution of results up to 30 days",Very-Low,0.97322065,Very-Low
Osteopathic manipulative treatment to 3-4 body regions,Very-Low,0.9322255,Very-Low
"X-ray of spine, 2 or 3 views",Very-Low,0.9999864,Very-Low
Screening examination of specimen cells,Very-Low,0.92935085,Very-Low
Smear for parasites,Very-Low,0.99416095,Very-Low
Administration of hepatitis b vaccine,Very-Low,0.9327881,Very-Low
"Strep test (Streptococcus, group A)",Moderate-Low,0.47368002,Very-Low
Imaging of abdomen and chest,Very-Low,0.98907405,Very-Low
Nuclear medicine study of lung ventilation,Very-Low,0.8524762,Very-Low
"Evaluation of occupational therapy, typically 30 minutes",Low,0.9730093,Very-Low
Ultrasonic guidance for drainage of sac that covers the heart,Low,0.92707515,Very-Low
Thyroxine (thyroid chemical) measurement,Very-Low,0.997962,Very-Low
"Iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta",Very-Low,0.91751564,Very-Low
"Dihydroxyvitamin D, 1, 25 level",Very-Low,0.999166,Very-Low
"Exercise or drug-induced heart and blood vessel stress test with EKG monitoring, physician interpretation and report",Very-Low,0.8844007,Very-Low
Detection test for clostridium difficile,Very-Low,0.94786084,Very-Low
Ultrasound guidance for accessing into blood vessel,Very-Low,0.9505748,Very-Low
Recording of gastrointestinal electrical activity of stomach,Very-Low,0.9620195,Very-Low
Collection and analysis of exhaled air and carbon dioxide for evaluation of lung function,Very-Low,0.91131914,Very-Low
"Evaluation, recording, and interpretation of swallowing using an endoscope",Very-Low,0.5953196,Very-Low
"X-ray of chest, 2 views, front and side",Very-Low,0.9998665,Very-Low
Phenytoin level,Very-Low,0.999899,Very-Low
Diagnostic examination of ear and nose,Very-Low,0.9385468,Very-Low
"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Very-Low,0.9089078,Very-Low
"Radiological supervision and interpretation X-ray of kidney cyst, lower back contrast injection",Low,0.9647431,Very-Low
Measurement of field of vision during daylight conditions,Very-Low,0.98808706,Very-Low
Detection test for clostridium difficile,Very-Low,0.94786084,Very-Low
"Hemoglobin measurement, per day",Very-Low,0.9959812,Very-Low
"X-ray of bones of face, less than 3 views",Very-Low,0.9973737,Very-Low
Gentamicin (antibiotic) level,Very-Low,0.9996432,Very-Low
Irrigation of vagina and/or application of drug to treat infection,Low,0.9306644,Very-Low
Examination of eye by ophthalmoscope with retinal drawing,Very-Low,0.9841687,Very-Low
Imaging for abscess or abnormal drainage tract procedure,Very-Low,0.9546432,Very-Low
Single measurement of remaining air or lung capacity after exhalation,Very-Low,0.9889271,Very-Low
Detection test for human papillomavirus (hpv),Low,0.73740983,Very-Low
"X-ray of abdomen, single view",Very-Low,0.99974865,Very-Low
"Cast supplies, short leg cast, adult (11 years +), fiberglass",Low,0.5801827,Very-Low
X-ray survey of forearm or wrist bone density,Moderate-High,0.47957024,Very-Low
"X-ray of hand, minimum of 3 views",Very-Low,0.99999416,Very-Low
"Health and behavior intervention, individual each 15 minutes",Very-Low,0.9962484,Very-Low
Screening examination of specimen cells,Very-Low,0.92935085,Very-Low
Measurement of field of vision during daylight conditions,Very-Low,0.98808706,Very-Low
Oral introduction of long drainage tube into small bowel,Very-Low,0.9572114,Very-Low
"Imaging of brain, less than 4 static views",Very-Low,0.9974502,Very-Low
"X-ray of spine of neck, 2 or 3 views",Very-Low,0.99924636,Very-Low
"X-ray of spine, 1 view",Very-Low,0.99999714,Very-Low
Analysis of pressure of upper limb artery with interpretation and report,Very-Low,0.8425606,Very-Low
Imaging of abdomen,Very-Low,0.99712247,Very-Low
Detection test for clostridium difficile toxins (stool pathogen),Very-Low,0.93725044,Very-Low
"Medical nutrition therapy, assessment and intervention, each 15 minutes",Very-Low,0.9460893,Very-Low
Ultrasound of arm or leg,Very-Low,0.91006196,Very-Low
Hemoglobin A1C level,Very-Low,0.9999317,Very-Low
Imaging of urinary tract with injection of contrast into a vein,Very-Low,0.90398973,Very-Low
PSA (prostate specific antigen) measurement,Very-Low,0.99514234,Very-Low
Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,Very-Low,0.92964077,Very-Low
Gammaglobulin (immune system protein) measurement,Very-Low,0.993371,Very-Low
Ultrasonic guidance imaging supervision and interpretation for amniocentesis,Very-Low,0.7327265,Very-Low
"Coagulation or fibrinolysis (clot dissolving) function measurement with interpretation and written report, per day",Very-Low,0.9125129,Very-Low
"Injection beneath the skin or into muscle for therapy, diagnosis, or prevention",Very-Low,0.9476662,Very-Low
Gammaglobulin (immune system protein) measurement,Very-Low,0.993371,Very-Low
"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list separately in addition to g0204 or g0206)",Very-Low,0.9400936,Very-Low
Fracture assessment of spine bones using dedicated X-ray machine for bone density measurement,Very-Low,0.8485122,Very-Low
Imaging of brain and spinal cord fluid flow in brain compartments (ventricles),Low,0.9741632,Very-Low
Rheumatoid factor level,Very-Low,0.9989604,Very-Low
Screening examination of specimen cells,Very-Low,0.92935085,Very-Low
"Medical nutrition therapy re-assessment and intervention, each 15 minutes",Very-Low,0.98131806,Very-Low
Hearing test using earphones,Very-Low,0.85078025,Very-Low
Blood osmolality (concentration) measurement,Very-Low,0.9865659,Very-Low
Organic acid level,Very-Low,0.9999509,Very-Low
Thyroglobulin (thyroid related hormone) level,Very-Low,0.9802351,Very-Low
"Chiropractic manipulative treatment, 3 to 4 spinal regions",Very-Low,0.9627942,Very-Low
Diagnostic imaging of retina,Very-Low,0.9830419,Very-Low
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Very-Low,0.9697714,Very-Low
"Evaluation of implantable heart recorder system including physician analysis, review, and report",Very-Low,0.9539524,Very-Low
Immunologic analysis for detection of organism,Very-Low,0.95024866,Very-Low
Imaging of small intestine,Very-Low,0.977091,Very-Low
Phosphatase (enzyme) measurement,Very-Low,0.99822265,Very-Low
Imaging of jaws and skull for orthodontic purposes,Low,0.97538936,Very-Low
DNA testing for genetic defects,Low,0.83347845,Very-Low
"Subsequent hospital inpatient care, typically 15 minutes per day",Very-Low,0.9170438,Very-Low
Routine EKG using at least 12 leads including interpretation and report,Very-Low,0.9305406,Very-Low
Electrical stimulation for guidance with injection of chemical for destruction of muscles,Very-Low,0.7128061,Very-Low
"Follow-up or limited heart doppler ultrasound study of heart blood flow, valves, and chambers",Very-Low,0.8440779,Very-Low
"X-ray of mastoid, minimum of 3 views per side",Very-Low,0.9998379,Very-Low
Special stain for parasites,Very-Low,0.97020996,Very-Low
"Gonadotropin, luteinizing (reproductive hormone) level",Very-Low,0.9631988,Very-Low
Determination of lung volumes using plethysmography,Very-Low,0.97729945,Very-Low
Radiological supervision and interpretation X-ray of tear drainage structure of eye,Very-Low,0.94138443,Very-Low
"Catheterization for collection of specimen, single patient, all places of service",Very-Low,0.65260774,Very-Low
Cell examination of specimen,Low,0.96137506,Very-Low
"Imaging of 2 or more joints, single view",Very-Low,0.9936278,Very-Low
"High osmolar contrast material, 300-349 mg/ml iodine concentration, per ml",Low,0.8750525,Very-Low
Measurement and graphic recording of total and timed exhaled air capacity,Very-Low,0.9408594,Very-Low
Assessment of eardrum and muscle function,Very-Low,0.9270903,Very-Low
"X-ray of upper arm, minimum of 2 views",Very-Low,0.99991775,Very-Low
Radiological supervision and interpretation X-ray of elbow,Low,0.8206817,Very-Low
X-ray of small intestine by small bowel tube,Low,0.90187323,Very-Low
Carcinoembryonic antigen (CEA) protein level,Very-Low,0.9904981,Very-Low
Injection of chemical for destruction of sweat glands,Low,0.9879239,Low
Incision and drainage of roof of mouth or its soft tissue projection,Moderate-Low,0.63820475,Low
"Skin graft at trunk, arms, or legs",Low,0.9922701,Low
Psychological testing with interpretation and report by psychologist or physician per hour,Low,0.9947779,Low
Assessment of muscle signal of pelvic nerves,Low,0.96858394,Low
Mechanical separation of platelet cells from blood,Low,0.6244408,Low
Radiological supervision and interpretation of imaging of artery of breast,Low,0.97960734,Low
Fine needle aspiration using imaging guidance,Low,0.99755824,Low
Suture of internal abdominal lining using an endoscope,Low,0.9493044,Low
"Incision of abscess, cyst, or blood accumulation in mouth",Moderate-Low,0.6160878,Low
Nuclear medicine study limited area,Low,0.9788775,Low
MRI scan of upper spinal canal with contrast,Low,0.9996087,Low
Tying or incision of fallopian tubes at time of cesarean delivery or other abdominal surgery,Low,0.92697734,Low
"Evaluation of defibrillator including connection, recording and disconnection",Low,0.94648206,Low
Blood bank physician services for cross match and/or evaluation and written report,Low,0.97812414,Low
Radiological supervision and interpretation of drawing blood via catheter procedure,Low,0.98541534,Low
"Radiological supervision and interpretation of imaging of liver vein with assessment of blood flow, injection of contrast (accessed through the skin)",Low,0.99756765,Low
CT scan of face before and after contrast,Low,0.99923277,Low
Family psychotherapy,Low,0.9728042,Low
Removal of central venous catheter for infusion,Low,0.71347415,Low
"Observation, testing, and recording of abnormal eye movement",Low,0.9690618,Low
"Strapping, Unna boot",Low,0.94809854,Low
